REF_DATE,GEO,CPI,CPI_SCALAR,Gross domestic product at market prices,Gross fixed capital formation,GDP_SCALE,GCGF_SCALE,Year
1981,Alberta,49.8,units,121088.0,40943.0,millions,millions,1981
1982,Alberta,55.4,units,118052.0,36555.0,millions,millions,1982
1983,Alberta,58.3,units,117421.0,29889.0,millions,millions,1983
1984,Alberta,59.8,units,123180.0,26476.0,millions,millions,1984
1985,Alberta,61.6,units,132159.0,28530.0,millions,millions,1985
1986,Alberta,63.7,units,128432.0,25456.0,millions,millions,1986
1987,Alberta,66.3,units,130777.0,26461.0,millions,millions,1987
1988,Alberta,68.1,units,140853.0,30375.0,millions,millions,1988
1989,Alberta,70.9,units,142912.0,29337.0,millions,millions,1989
1990,Alberta,75.0,units,146131.0,31077.0,millions,millions,1990
1991,Alberta,79.4,units,146777.0,28850.0,millions,millions,1991
1992,Alberta,80.6,units,147756.0,28383.0,millions,millions,1992
1993,Alberta,81.4,units,159234.0,31413.0,millions,millions,1993
1994,Alberta,82.6,units,168049.0,36162.0,millions,millions,1994
1995,Alberta,84.5,units,173206.0,36027.0,millions,millions,1995
1996,Alberta,86.4,units,177367.0,38041.0,millions,millions,1996
1997,Alberta,88.1,units,189477.0,48248.0,millions,millions,1997
1998,Alberta,89.2,units,198807.0,53435.0,millions,millions,1998
1999,Alberta,91.4,units,201271.0,50899.0,millions,millions,1999
2000,Alberta,94.5,units,213656.0,59401.0,millions,millions,2000
2001,Alberta,96.7,units,217167.0,66071.0,millions,millions,2001
2002,Alberta,100.0,units,222143.0,65452.0,millions,millions,2002
2003,Alberta,104.4,units,229834.0,69925.0,millions,millions,2003
2004,Alberta,105.9,units,242622.0,77011.0,millions,millions,2004
2005,Alberta,108.1,units,253330.0,93836.0,millions,millions,2005
2006,Alberta,112.3,units,269426.0,103336.0,millions,millions,2006
2007,Alberta,117.9,units,274159.0,105515.0,millions,millions,2007
2008,Alberta,121.6,units,278580.0,107221.0,millions,millions,2008
2009,Alberta,121.5,units,263141.0,79625.0,millions,millions,2009
2010,Alberta,122.7,units,276213.0,98129.0,millions,millions,2010
2011,Alberta,125.7,units,294040.0,108826.0,millions,millions,2011
2012,Alberta,127.1,units,305530.0,121061.0,millions,millions,2012
2013,Alberta,128.9,units,322960.0,134491.0,millions,millions,2013
2014,Alberta,132.2,units,341998.0,140637.0,millions,millions,2014
2015,Alberta,133.7,units,329332.0,112731.0,millions,millions,2015
2016,Alberta,135.2,units,317951.0,91260.0,millions,millions,2016
2017,Alberta,137.3,units,332256.0,91903.0,millions,millions,2017
2018,Alberta,140.6,units,338965.0,90904.0,millions,millions,2018
2019,Alberta,143.1,units,339281.0,84688.0,millions,millions,2019
2020,Alberta,144.7,units,312726.0,72365.0,millions,millions,2020
2021,Alberta,149.3,units,329067.0,79296.0,millions,millions,2021
2022,Alberta,158.9,units,348686.0,87281.0,millions,millions,2022
