REF_DATE,GEO,Participation Rate_SCALAR_FACTOR,Population_SCALAR_FACTOR,Unemployment Rate_SCALAR_FACTOR,Participation Rate,Population,Unemployment Rate,CPI,CPI_SCALAR,Gross domestic product at market prices,Gross fixed capital formation,GDP_SCALE,GCGF_SCALE,Minimum Wage
2018-01,Alberta,units,thousands,units,72.2,3373.1,6.7,128.9,units,322960.0,134491.0,millions,millions,13.6
2018-02,Alberta,units,thousands,units,71.8,3376.8,6.5,128.9,units,322960.0,134491.0,millions,millions,13.6
2018-03,Alberta,units,thousands,units,71.7,3381.2,6.1,128.9,units,322960.0,134491.0,millions,millions,13.6
2018-04,Alberta,units,thousands,units,71.5,3386.9,6.7,128.9,units,322960.0,134491.0,millions,millions,13.6
2018-05,Alberta,units,thousands,units,71.4,3391.2,6.2,128.9,units,322960.0,134491.0,millions,millions,13.6
2018-06,Alberta,units,thousands,units,71.6,3395.9,6.6,128.9,units,322960.0,134491.0,millions,millions,13.6
2018-07,Alberta,units,thousands,units,71.8,3401.8,6.9,128.9,units,322960.0,134491.0,millions,millions,13.6
2018-08,Alberta,units,thousands,units,72.2,3406.3,6.8,128.9,units,322960.0,134491.0,millions,millions,13.6
2018-09,Alberta,units,thousands,units,72.2,3410.4,7.0,128.9,units,322960.0,134491.0,millions,millions,13.6
2018-10,Alberta,units,thousands,units,72.1,3414.9,7.0,128.9,units,322960.0,134491.0,millions,millions,15.0
2018-11,Alberta,units,thousands,units,72.2,3419.3,6.3,128.9,units,322960.0,134491.0,millions,millions,15.0
2018-12,Alberta,units,thousands,units,71.6,3423.3,6.3,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-01,Alberta,units,thousands,units,71.7,3428.3,6.6,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-02,Alberta,units,thousands,units,71.9,3431.8,7.1,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-03,Alberta,units,thousands,units,71.3,3435.9,6.8,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-04,Alberta,units,thousands,units,72.0,3441.1,6.5,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-05,Alberta,units,thousands,units,71.8,3445.5,6.7,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-06,Alberta,units,thousands,units,71.9,3450.6,6.7,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-07,Alberta,units,thousands,units,72.1,3456.7,7.1,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-08,Alberta,units,thousands,units,72.0,3461.2,7.6,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-09,Alberta,units,thousands,units,71.4,3467.9,6.7,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-10,Alberta,units,thousands,units,71.4,3473.3,6.5,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-11,Alberta,units,thousands,units,71.5,3478.1,7.2,128.9,units,322960.0,134491.0,millions,millions,15.0
2019-12,Alberta,units,thousands,units,71.5,3482.2,7.1,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-01,Alberta,units,thousands,units,70.9,3486.9,7.2,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-02,Alberta,units,thousands,units,71.1,3491.0,7.3,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-03,Alberta,units,thousands,units,68.1,3495.9,8.7,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-04,Alberta,units,thousands,units,64.0,3499.2,13.1,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-05,Alberta,units,thousands,units,66.2,3502.1,15.5,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-06,Alberta,units,thousands,units,69.4,3506.4,15.2,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-07,Alberta,units,thousands,units,69.6,3509.2,13.0,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-08,Alberta,units,thousands,units,69.4,3512.0,12.4,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-09,Alberta,units,thousands,units,70.1,3515.3,12.0,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-10,Alberta,units,thousands,units,70.3,3518.7,11.3,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-11,Alberta,units,thousands,units,69.8,3522.1,11.0,128.9,units,322960.0,134491.0,millions,millions,15.0
2020-12,Alberta,units,thousands,units,69.3,3524.9,10.8,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-01,Alberta,units,thousands,units,69.4,3527.7,10.3,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-02,Alberta,units,thousands,units,69.7,3531.4,9.8,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-03,Alberta,units,thousands,units,70.3,3533.5,9.1,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-04,Alberta,units,thousands,units,69.4,3535.3,8.8,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-05,Alberta,units,thousands,units,69.2,3536.2,8.6,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-06,Alberta,units,thousands,units,69.6,3537.7,8.8,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-07,Alberta,units,thousands,units,69.3,3540.8,8.4,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-08,Alberta,units,thousands,units,69.6,3545.3,8.0,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-09,Alberta,units,thousands,units,70.3,3550.2,7.8,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-10,Alberta,units,thousands,units,69.6,3556.0,7.7,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-11,Alberta,units,thousands,units,69.8,3562.0,7.4,128.9,units,322960.0,134491.0,millions,millions,15.0
2021-12,Alberta,units,thousands,units,70.1,3568.1,6.9,128.9,units,322960.0,134491.0,millions,millions,15.0
2022-01,Alberta,units,thousands,units,69.9,3573.9,6.8,128.9,units,322960.0,134491.0,millions,millions,15.0
2022-02,Alberta,units,thousands,units,70.2,3580.2,6.5,128.9,units,322960.0,134491.0,millions,millions,15.0
2022-03,Alberta,units,thousands,units,69.8,3586.6,6.2,128.9,units,322960.0,134491.0,millions,millions,15.0
