REF_DATE,New Brunswick_CPI,British Columbia_CPI,Nova Scotia_CPI,Saskatchewan_CPI,Quebec_CPI,Canada_CPI,Prince Edward Island_CPI,Ontario_CPI,Alberta_CPI,Newfoundland and Labrador_CPI,Manitoba_CPI
1981,50.9,51.8,50.8,49.5,50.2,49.5,52.7,48.2,49.8,53.1,49.0
1982,55.6,57.3,55.6,54.0,56.0,54.9,57.8,53.3,55.4,58.5,53.3
1983,59.3,60.4,59.1,57.4,59.1,58.1,60.7,56.6,58.3,62.4,56.8
1984,62.3,62.8,61.7,59.8,61.5,60.6,63.3,59.4,59.8,65.2,58.9
1985,65.2,64.8,64.5,62.0,64.2,63.0,65.6,61.8,61.6,67.9,61.4
1986,67.5,66.7,66.5,63.7,67.3,65.6,67.0,64.6,63.7,69.9,64.1
1987,69.4,68.7,68.8,66.8,70.2,68.5,69.4,67.8,66.3,71.9,66.8
1988,71.8,71.2,71.2,69.8,72.8,71.2,71.9,71.0,68.1,73.5,69.6
1989,75.2,74.4,74.4,72.9,75.9,74.8,74.6,75.1,70.9,76.2,72.9
1990,78.7,78.4,78.2,76.0,79.2,78.4,78.4,78.7,75.0,79.5,76.2
1991,83.8,82.6,82.9,80.0,85.0,82.8,84.3,82.4,79.4,84.4,80.1
1992,84.3,84.8,83.5,80.8,86.6,84.0,85.0,83.2,80.6,85.3,81.2
1993,85.4,87.8,84.5,83.3,87.7,85.6,86.6,84.7,81.4,86.7,83.4
1994,85.9,89.5,85.5,84.8,86.6,85.7,86.4,84.7,82.6,87.8,84.6
1995,87.2,91.6,86.6,86.4,88.1,87.6,87.8,86.8,84.5,89.0,86.9
1996,88.5,92.4,88.2,88.1,89.5,88.9,89.4,88.2,86.4,90.4,88.8
1997,90.1,93.1,90.0,89.2,90.8,90.4,90.5,89.8,88.1,92.3,90.6
1998,90.6,93.4,90.6,90.4,92.1,91.3,90.1,90.6,89.2,92.5,91.8
1999,92.1,94.4,92.1,92.0,93.5,92.9,91.2,92.4,91.4,93.8,93.6
2000,95.1,96.1,95.3,94.4,95.8,95.4,94.9,95.1,94.5,96.6,95.9
2001,96.8,97.7,97.1,97.2,98.0,97.8,97.4,98.0,96.7,97.7,98.5
2002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003,103.4,102.2,103.4,102.3,102.5,102.8,103.5,102.7,104.4,102.9,101.8
2004,104.9,104.2,105.3,104.6,104.5,104.7,105.8,104.6,105.9,104.8,103.8
2005,107.4,106.3,108.2,106.9,106.9,107.0,109.1,106.9,108.1,107.6,106.6
2006,109.2,108.1,110.4,109.1,108.7,109.1,111.6,108.8,112.3,109.5,108.7
2007,111.3,110.0,112.5,112.2,110.4,111.5,113.6,110.8,117.9,111.1,110.9
2008,113.2,112.3,115.9,115.9,112.7,114.1,117.5,113.3,121.6,114.3,113.4
2009,113.5,112.3,115.7,117.1,113.4,114.4,117.3,113.7,121.5,114.6,114.1
2010,115.9,113.8,118.2,118.7,114.8,116.5,119.5,116.5,122.7,117.4,115.0
2011,120.0,116.5,122.7,122.0,118.3,119.9,123.0,120.1,125.7,121.4,118.4
2012,122.0,117.8,125.1,123.9,120.8,121.7,125.5,121.8,127.1,123.9,120.3
2013,123.0,117.7,126.6,125.7,121.7,122.8,128.0,123.0,128.9,126.0,123.0
2014,124.8,118.9,128.8,128.7,123.4,125.2,130.1,125.9,132.2,128.4,125.3
2015,125.4,120.2,129.3,130.8,124.7,126.6,129.3,127.4,133.7,129.0,126.8
2016,128.2,122.4,130.9,132.2,125.6,128.4,130.8,129.7,135.2,132.5,128.4
2017,131.2,125.0,132.4,134.4,126.9,130.4,133.2,131.9,137.3,135.7,130.5
2018,134.0,128.4,135.3,137.5,129.0,133.4,136.3,135.0,140.6,137.9,133.8
2019,136.3,131.4,137.5,139.9,131.7,136.0,137.9,137.5,143.1,139.3,136.8
2020,136.6,132.4,137.9,140.7,132.8,137.0,137.9,138.4,144.7,139.6,137.5
2021,141.8,136.1,143.5,144.4,137.8,141.6,144.9,143.2,149.3,144.7,142.0
2022,152.1,145.5,154.3,153.9,147.0,151.2,157.8,152.9,158.9,153.9,153.2
2023,157.5,151.2,160.5,160.0,153.6,157.1,162.3,158.7,164.1,159.0,158.6
