REF_DATE,Alberta_GDP,Alberta_GFCF,British Columbia_GDP,British Columbia_GFCF,Canada_GDP,Canada_GFCF,Manitoba_GDP,Manitoba_GFCF,New Brunswick_GDP,New Brunswick_GFCF,Newfoundland and Labrador_GDP,Newfoundland and Labrador_GFCF,Nova Scotia_GDP,Nova Scotia_GFCF,Ontario_GDP,Ontario_GFCF,Prince Edward Island_GDP,Prince Edward Island_GFCF,Quebec_GDP,Quebec_GFCF,Saskatchewan_GDP,Saskatchewan_GFCF,Yukon_GDP,Yukon_GFCF
1981,121088.0,40943.0,114605.0,25713.0,925154.0,195831.0,33934.0,5273.0,18338.0,2843.0,15331.0,2679.0,22460.0,3895.0,333886.0,54679.0,2912.0,355.0,212900.0,29167.0,39106.0,8544.0,973.0,522.0
1982,118052.0,36555.0,107268.0,20743.0,895862.0,174728.0,33138.0,4282.0,18432.0,3002.0,15423.0,3100.0,23480.0,4302.0,323290.0,48986.0,2913.0,348.0,204969.0,26214.0,38137.0,6980.0,954.0,406.0
1983,117421.0,29889.0,108055.0,20354.0,918816.0,173486.0,33414.0,4888.0,19796.0,2690.0,15945.0,3448.0,23926.0,5158.0,339776.0,51936.0,3202.0,371.0,208728.0,28282.0,39008.0,7636.0,851.0,346.0
1984,123180.0,26476.0,109036.0,19658.0,973013.0,177246.0,35929.0,5624.0,20239.0,2810.0,16434.0,3551.0,25764.0,5057.0,369769.0,56266.0,3264.0,432.0,218418.0,31198.0,40232.0,7578.0,882.0,313.0
1985,132159.0,28530.0,116722.0,21044.0,1019111.0,192295.0,38237.0,6219.0,20983.0,3205.0,16791.0,3559.0,27159.0,4940.0,388621.0,64284.0,3264.0,451.0,225645.0,34447.0,41334.0,8116.0,932.0,287.0
1986,128432.0,25456.0,117808.0,19714.0,1040732.0,199910.0,38421.0,6775.0,22406.0,3205.0,16830.0,3413.0,27727.0,4866.0,402773.0,73839.0,3418.0,526.0,228900.0,36808.0,43528.0,7535.0,1149.0,367.0
1987,130777.0,26461.0,125019.0,22440.0,1083110.0,218051.0,39016.0,6326.0,23562.0,3178.0,17465.0,3097.0,28588.0,4886.0,422206.0,82692.0,3505.0,518.0,238553.0,41662.0,43951.0,8186.0,1498.0,404.0
1988,140853.0,30375.0,131926.0,26020.0,1130885.0,237952.0,38799.0,6528.0,23640.0,3594.0,18355.0,3334.0,28936.0,5522.0,441390.0,90542.0,3583.0,609.0,248110.0,43685.0,42277.0,7982.0,1526.0,447.0
1989,142912.0,29337.0,136097.0,30437.0,1157317.0,250216.0,39785.0,6483.0,23691.0,4098.0,19044.0,3430.0,29614.0,6142.0,456049.0,95555.0,3686.0,609.0,248840.0,46312.0,42992.0,7280.0,1548.0,360.0
1990,146131.0,31077.0,138149.0,30801.0,1159666.0,241515.0,40932.0,6448.0,23452.0,3885.0,19132.0,3227.0,29333.0,5824.0,448863.0,87537.0,3693.0,571.0,250213.0,46285.0,46215.0,7498.0,1636.0,427.0
1991,146777.0,28850.0,138594.0,31351.0,1135417.0,231315.0,39563.0,6024.0,23383.0,3920.0,19224.0,3394.0,28969.0,5638.0,433824.0,83297.0,3683.0,679.0,243839.0,44484.0,46569.0,7798.0,1585.0,464.0
1992,147756.0,28383.0,142442.0,32484.0,1145527.0,224515.0,39849.0,5852.0,23704.0,3670.0,18840.0,3342.0,29335.0,4910.0,439646.0,83093.0,3793.0,565.0,244696.0,42633.0,44510.0,6973.0,1894.0,442.0
