REF_DATE,GEO,Participation Rate_SCALAR_FACTOR,Population_SCALAR_FACTOR,Unemployment Rate_SCALAR_FACTOR,Participation Rate,Population,Unemployment Rate,Year
2012-10,Alberta,units,thousands,units,74.0,3100.4,4.8,2012
2012-10,British Columbia,units,thousands,units,65.8,3785.0,6.8,2012
2012-10,Canada,units,thousands,units,67.0,28329.7,7.4,2012
2012-10,Manitoba,units,thousands,units,68.9,955.1,5.7,2012
2012-10,New Brunswick,units,thousands,units,63.8,624.2,11.9,2012
2012-10,Newfoundland and Labrador,units,thousands,units,62.3,443.5,11.9,2012
2012-10,Nova Scotia,units,thousands,units,65.2,780.0,9.6,2012
2012-10,Ontario,units,thousands,units,66.6,11005.5,8.2,2012
2012-10,Prince Edward Island,units,thousands,units,69.5,119.3,11.3,2012
2012-10,Quebec,units,thousands,units,65.4,6687.2,7.4,2012
2012-10,Saskatchewan,units,thousands,units,70.5,829.5,4.6,2012
2012-04,Alberta,units,thousands,units,74.2,3064.0,4.9,2012
2012-04,British Columbia,units,thousands,units,65.4,3753.7,6.6,2012
2012-04,Canada,units,thousands,units,67.0,28160.3,7.4,2012
2012-04,Manitoba,units,thousands,units,69.4,949.3,5.2,2012
2012-04,New Brunswick,units,thousands,units,63.8,623.3,9.7,2012
2012-04,Newfoundland and Labrador,units,thousands,units,62.3,442.0,12.5,2012
2012-04,Nova Scotia,units,thousands,units,64.5,779.7,9.1,2012
2012-04,Ontario,units,thousands,units,66.6,10943.0,8.0,2012
2012-04,Prince Edward Island,units,thousands,units,68.6,119.2,11.0,2012
2012-04,Quebec,units,thousands,units,65.3,6663.6,8.0,2012
2012-04,Saskatchewan,units,thousands,units,70.4,822.5,5.1,2012
2012-05,Alberta,units,thousands,units,74.0,3069.9,4.5,2012
2012-05,British Columbia,units,thousands,units,65.7,3758.9,7.4,2012
2012-05,Canada,units,thousands,units,67.0,28188.3,7.5,2012
2012-05,Manitoba,units,thousands,units,69.0,950.2,5.1,2012
2012-05,New Brunswick,units,thousands,units,64.0,623.5,9.8,2012
2012-05,Newfoundland and Labrador,units,thousands,units,62.1,442.1,12.6,2012
2012-05,Nova Scotia,units,thousands,units,64.7,779.9,9.6,2012
2012-05,Ontario,units,thousands,units,66.4,10953.2,8.2,2012
2012-05,Prince Edward Island,units,thousands,units,68.8,119.2,11.5,2012
2012-05,Quebec,units,thousands,units,65.5,6667.4,8.0,2012
2012-05,Saskatchewan,units,thousands,units,70.0,823.9,4.7,2012
2012-11,Alberta,units,thousands,units,73.8,3105.8,4.5,2012
2012-11,British Columbia,units,thousands,units,65.6,3789.7,6.7,2012
2012-11,Canada,units,thousands,units,67.0,28354.0,7.3,2012
2012-11,Manitoba,units,thousands,units,69.0,956.2,5.5,2012
2012-11,New Brunswick,units,thousands,units,63.7,624.3,11.5,2012
2012-11,Newfoundland and Labrador,units,thousands,units,62.5,443.7,12.4,2012
2012-11,Nova Scotia,units,thousands,units,64.8,780.0,9.4,2012
2012-11,Ontario,units,thousands,units,66.5,11014.9,8.0,2012
2012-11,Prince Edward Island,units,thousands,units,69.5,119.2,11.5,2012
2012-11,Quebec,units,thousands,units,65.7,6690.1,7.8,2012
2012-11,Saskatchewan,units,thousands,units,70.7,830.2,4.7,2012
2012-07,Alberta,units,thousands,units,73.6,3082.8,4.6,2012
2012-07,British Columbia,units,thousands,units,65.4,3770.9,7.0,2012
2012-07,Canada,units,thousands,units,66.7,28254.0,7.3,2012
2012-07,Manitoba,units,thousands,units,68.7,952.5,5.6,2012
2012-07,New Brunswick,units,thousands,units,64.0,623.9,10.6,2012
2012-07,Newfoundland and Labrador,units,thousands,units,62.1,442.8,12.9,2012
2012-07,Nova Scotia,units,thousands,units,65.0,779.8,9.4,2012
2012-07,Ontario,units,thousands,units,66.4,10978.3,8.0,2012
2012-07,Prince Edward Island,units,thousands,units,69.2,119.3,10.8,2012
2012-07,Quebec,units,thousands,units,64.9,6677.1,7.3,2012
2012-07,Saskatchewan,units,thousands,units,69.9,826.6,4.8,2012
2012-12,Alberta,units,thousands,units,73.7,3110.9,4.8,2012
2012-12,British Columbia,units,thousands,units,65.2,3794.3,6.4,2012
2012-12,Canada,units,thousands,units,67.1,28376.9,7.2,2012
2012-12,Manitoba,units,thousands,units,69.4,957.0,5.1,2012
2012-12,New Brunswick,units,thousands,units,63.3,624.3,10.8,2012
2012-12,Newfoundland and Labrador,units,thousands,units,62.3,443.8,11.8,2012
2012-12,Nova Scotia,units,thousands,units,64.4,779.7,9.8,2012
2012-12,Ontario,units,thousands,units,66.8,11023.7,7.8,2012
2012-12,Prince Edward Island,units,thousands,units,70.4,119.2,10.8,2012
2012-12,Quebec,units,thousands,units,65.7,6693.0,7.5,2012
2012-12,Saskatchewan,units,thousands,units,70.6,831.0,4.9,2012
2012-06,Alberta,units,thousands,units,73.7,3075.6,4.6,2012
2012-06,British Columbia,units,thousands,units,65.5,3764.6,6.9,2012
2012-06,Canada,units,thousands,units,66.8,28218.5,7.4,2012
2012-06,Manitoba,units,thousands,units,68.7,951.1,5.5,2012
2012-06,New Brunswick,units,thousands,units,63.7,623.6,9.6,2012
2012-06,Newfoundland and Labrador,units,thousands,units,62.6,442.4,13.4,2012
2012-06,Nova Scotia,units,thousands,units,64.8,779.8,9.4,2012
2012-06,Ontario,units,thousands,units,66.3,10965.1,8.1,2012
2012-06,Prince Edward Island,units,thousands,units,69.8,119.3,12.6,2012
2012-06,Quebec,units,thousands,units,65.2,6671.9,7.6,2012
2012-06,Saskatchewan,units,thousands,units,70.0,825.2,5.1,2012
2012-02,Alberta,units,thousands,units,73.9,3049.8,5.0,2012
2012-02,British Columbia,units,thousands,units,65.3,3742.4,7.0,2012
2012-02,Canada,units,thousands,units,66.6,28102.2,7.6,2012
2012-02,Manitoba,units,thousands,units,68.8,947.4,5.5,2012
2012-02,New Brunswick,units,thousands,units,63.4,623.0,9.9,2012
2012-02,Newfoundland and Labrador,units,thousands,units,61.3,442.2,13.3,2012
2012-02,Nova Scotia,units,thousands,units,64.2,780.0,8.6,2012
2012-02,Ontario,units,thousands,units,66.1,10921.8,7.9,2012
2012-02,Prince Edward Island,units,thousands,units,67.4,119.2,10.7,2012
2012-02,Quebec,units,thousands,units,64.9,6656.6,8.5,2012
2012-02,Saskatchewan,units,thousands,units,69.4,819.8,5.0,2012
2012-03,Alberta,units,thousands,units,74.2,3056.3,5.0,2012
2012-03,British Columbia,units,thousands,units,65.3,3747.1,7.2,2012
2012-03,Canada,units,thousands,units,66.7,28126.3,7.3,2012
2012-03,Manitoba,units,thousands,units,69.1,948.1,5.3,2012
2012-03,New Brunswick,units,thousands,units,62.5,623.0,10.1,2012
2012-03,Newfoundland and Labrador,units,thousands,units,61.2,442.1,12.8,2012
2012-03,Nova Scotia,units,thousands,units,64.4,779.8,8.9,2012
2012-03,Ontario,units,thousands,units,66.3,10930.7,7.7,2012
2012-03,Prince Edward Island,units,thousands,units,67.5,119.2,10.3,2012
2012-03,Quebec,units,thousands,units,64.9,6659.3,7.8,2012
2012-03,Saskatchewan,units,thousands,units,69.2,820.7,5.1,2012
2012-01,Alberta,units,thousands,units,74.1,3043.6,5.1,2012
2012-01,British Columbia,units,thousands,units,65.3,3737.2,7.0,2012
2012-01,Canada,units,thousands,units,66.8,28077.1,7.7,2012
2012-01,Manitoba,units,thousands,units,69.0,946.3,5.6,2012
2012-01,New Brunswick,units,thousands,units,63.6,622.8,9.7,2012
2012-01,Newfoundland and Labrador,units,thousands,units,61.4,442.2,13.8,2012
2012-01,Nova Scotia,units,thousands,units,64.4,780.0,8.6,2012
2012-01,Ontario,units,thousands,units,66.4,10912.8,8.1,2012
2012-01,Prince Edward Island,units,thousands,units,68.6,119.1,12.1,2012
2012-01,Quebec,units,thousands,units,65.0,6654.4,8.7,2012
2012-01,Saskatchewan,units,thousands,units,69.5,818.7,4.8,2012
2012-08,Alberta,units,thousands,units,73.7,3088.6,4.3,2012
2012-08,British Columbia,units,thousands,units,65.5,3775.7,6.7,2012
2012-08,Canada,units,thousands,units,66.9,28279.3,7.4,2012
2012-08,Manitoba,units,thousands,units,69.0,953.1,5.7,2012
2012-08,New Brunswick,units,thousands,units,64.0,623.9,11.1,2012
2012-08,Newfoundland and Labrador,units,thousands,units,62.5,443.0,13.5,2012
2012-08,Nova Scotia,units,thousands,units,65.4,779.8,9.8,2012
2012-08,Ontario,units,thousands,units,66.4,10987.6,8.1,2012
2012-08,Prince Edward Island,units,thousands,units,69.6,119.3,12.2,2012
2012-08,Quebec,units,thousands,units,65.4,6680.7,7.5,2012
2012-08,Saskatchewan,units,thousands,units,70.4,827.6,4.7,2012
2012-09,Alberta,units,thousands,units,73.9,3094.5,4.7,2012
2012-09,British Columbia,units,thousands,units,65.8,3780.4,7.1,2012
2012-09,Canada,units,thousands,units,67.0,28304.2,7.4,2012
2012-09,Manitoba,units,thousands,units,69.1,953.9,5.4,2012
2012-09,New Brunswick,units,thousands,units,63.9,624.1,11.6,2012
2012-09,Newfoundland and Labrador,units,thousands,units,61.9,443.2,12.6,2012
2012-09,Nova Scotia,units,thousands,units,65.2,779.9,8.9,2012
2012-09,Ontario,units,thousands,units,66.5,10996.2,7.9,2012
2012-09,Prince Edward Island,units,thousands,units,69.0,119.3,11.4,2012
2012-09,Quebec,units,thousands,units,65.5,6684.0,7.6,2012
2012-09,Saskatchewan,units,thousands,units,70.2,828.6,4.8,2012
2013-09,Alberta,units,thousands,units,73.0,3178.9,4.3,2013
2013-09,British Columbia,units,thousands,units,64.8,3843.8,6.5,2013
2013-09,Canada,units,thousands,units,66.6,28622.0,7.1,2013
2013-09,Manitoba,units,thousands,units,69.0,964.4,5.6,2013
2013-09,New Brunswick,units,thousands,units,64.1,625.1,10.5,2013
2013-09,Newfoundland and Labrador,units,thousands,units,60.9,444.8,10.7,2013
2013-09,Nova Scotia,units,thousands,units,64.0,778.0,8.7,2013
2013-09,Ontario,units,thousands,units,66.4,11113.2,7.5,2013
2013-09,Prince Edward Island,units,thousands,units,69.6,118.9,11.7,2013
2013-09,Quebec,units,thousands,units,65.2,6715.7,7.9,2013
2013-09,Saskatchewan,units,thousands,units,69.5,839.1,4.3,2013
2013-08,Alberta,units,thousands,units,73.9,3170.8,4.8,2013
2013-08,British Columbia,units,thousands,units,65.0,3837.5,6.7,2013
2013-08,Canada,units,thousands,units,66.8,28592.4,7.2,2013
2013-08,Manitoba,units,thousands,units,68.6,963.6,5.3,2013
2013-08,New Brunswick,units,thousands,units,63.9,625.0,10.7,2013
2013-08,Newfoundland and Labrador,units,thousands,units,61.1,444.7,11.0,2013
2013-08,Nova Scotia,units,thousands,units,64.4,778.0,9.0,2013
2013-08,Ontario,units,thousands,units,66.5,11102.7,7.7,2013
2013-08,Prince Edward Island,units,thousands,units,69.1,119.0,10.5,2013
2013-08,Quebec,units,thousands,units,65.2,6712.9,8.0,2013
2013-08,Saskatchewan,units,thousands,units,70.4,838.3,4.2,2013
2013-06,Alberta,units,thousands,units,73.5,3155.4,4.7,2013
2013-06,British Columbia,units,thousands,units,64.8,3825.0,6.6,2013
2013-06,Canada,units,thousands,units,66.9,28533.4,7.2,2013
2013-06,Manitoba,units,thousands,units,69.2,961.7,5.5,2013
2013-06,New Brunswick,units,thousands,units,63.8,624.8,10.9,2013
2013-06,Newfoundland and Labrador,units,thousands,units,62.0,444.4,11.7,2013
2013-06,Nova Scotia,units,thousands,units,64.7,778.4,9.1,2013
2013-06,Ontario,units,thousands,units,66.6,11080.7,7.6,2013
2013-06,Prince Edward Island,units,thousands,units,69.3,119.0,10.7,2013
2013-06,Quebec,units,thousands,units,65.6,6707.8,7.8,2013
2013-06,Saskatchewan,units,thousands,units,70.6,836.3,4.0,2013
2013-12,Alberta,units,thousands,units,73.0,3195.4,4.9,2013
2013-12,British Columbia,units,thousands,units,64.9,3858.6,6.9,2013
2013-12,Canada,units,thousands,units,66.6,28689.2,7.4,2013
2013-12,Manitoba,units,thousands,units,68.3,967.0,5.6,2013
2013-12,New Brunswick,units,thousands,units,64.2,625.7,10.6,2013
2013-12,Newfoundland and Labrador,units,thousands,units,62.0,445.3,11.6,2013
2013-12,Nova Scotia,units,thousands,units,63.5,778.1,9.4,2013
2013-12,Ontario,units,thousands,units,66.3,11136.9,7.8,2013
2013-12,Prince Edward Island,units,thousands,units,69.4,119.0,11.6,2013
2013-12,Quebec,units,thousands,units,65.4,6721.3,8.1,2013
2013-12,Saskatchewan,units,thousands,units,69.8,841.7,4.4,2013
2013-07,Alberta,units,thousands,units,73.4,3163.8,4.6,2013
2013-07,British Columbia,units,thousands,units,65.0,3831.9,6.7,2013
2013-07,Canada,units,thousands,units,66.8,28566.9,7.3,2013
2013-07,Manitoba,units,thousands,units,69.1,962.9,5.5,2013
2013-07,New Brunswick,units,thousands,units,63.6,624.9,9.7,2013
2013-07,Newfoundland and Labrador,units,thousands,units,61.6,444.5,12.1,2013
2013-07,Nova Scotia,units,thousands,units,64.2,778.2,8.6,2013
2013-07,Ontario,units,thousands,units,66.4,11093.4,7.7,2013
2013-07,Prince Edward Island,units,thousands,units,70.0,119.0,11.9,2013
2013-07,Quebec,units,thousands,units,65.5,6710.9,8.2,2013
2013-07,Saskatchewan,units,thousands,units,70.8,837.3,4.4,2013
2013-11,Alberta,units,thousands,units,73.2,3190.5,4.7,2013
2013-11,British Columbia,units,thousands,units,64.5,3854.0,6.9,2013
2013-11,Canada,units,thousands,units,66.6,28668.6,7.1,2013
2013-11,Manitoba,units,thousands,units,68.5,966.1,6.0,2013
2013-11,New Brunswick,units,thousands,units,64.0,625.6,9.9,2013
2013-11,Newfoundland and Labrador,units,thousands,units,61.9,445.2,12.3,2013
2013-11,Nova Scotia,units,thousands,units,62.9,778.1,8.8,2013
2013-11,Ontario,units,thousands,units,66.3,11129.6,7.5,2013
2013-11,Prince Edward Island,units,thousands,units,69.6,118.9,12.2,2013
2013-11,Quebec,units,thousands,units,65.5,6719.7,7.6,2013
2013-11,Saskatchewan,units,thousands,units,69.4,840.9,4.1,2013
2013-05,Alberta,units,thousands,units,73.4,3148.7,4.6,2013
2013-05,British Columbia,units,thousands,units,65.0,3819.3,6.4,2013
2013-05,Canada,units,thousands,units,66.9,28503.8,7.0,2013
2013-05,Manitoba,units,thousands,units,68.9,960.6,5.7,2013
2013-05,New Brunswick,units,thousands,units,64.0,624.6,10.2,2013
2013-05,Newfoundland and Labrador,units,thousands,units,61.4,444.2,12.0,2013
2013-05,Nova Scotia,units,thousands,units,64.6,778.4,8.7,2013
2013-05,Ontario,units,thousands,units,66.5,11069.3,7.5,2013
2013-05,Prince Edward Island,units,thousands,units,70.4,119.1,11.1,2013
2013-05,Quebec,units,thousands,units,65.7,6704.4,7.5,2013
2013-05,Saskatchewan,units,thousands,units,70.6,835.2,4.5,2013
2013-04,Alberta,units,thousands,units,73.2,3141.0,4.3,2013
2013-04,British Columbia,units,thousands,units,65.2,3813.7,6.8,2013
2013-04,Canada,units,thousands,units,66.9,28475.0,7.2,2013
2013-04,Manitoba,units,thousands,units,68.9,959.9,5.7,2013
2013-04,New Brunswick,units,thousands,units,63.8,624.5,10.6,2013
2013-04,Newfoundland and Labrador,units,thousands,units,61.7,444.1,12.9,2013
2013-04,Nova Scotia,units,thousands,units,65.0,778.5,8.8,2013
2013-04,Ontario,units,thousands,units,66.4,11058.9,7.6,2013
2013-04,Prince Edward Island,units,thousands,units,70.8,119.0,11.0,2013
2013-04,Quebec,units,thousands,units,65.6,6701.2,8.0,2013
2013-04,Saskatchewan,units,thousands,units,70.6,834.0,4.4,2013
2013-10,Alberta,units,thousands,units,73.0,3185.1,4.6,2013
2013-10,British Columbia,units,thousands,units,64.5,3849.1,6.8,2013
2013-10,Canada,units,thousands,units,66.7,28646.5,7.2,2013
2013-10,Manitoba,units,thousands,units,68.6,965.3,5.7,2013
2013-10,New Brunswick,units,thousands,units,63.8,625.3,10.1,2013
2013-10,Newfoundland and Labrador,units,thousands,units,61.9,445.0,11.4,2013
2013-10,Nova Scotia,units,thousands,units,63.8,778.1,9.2,2013
2013-10,Ontario,units,thousands,units,66.4,11121.6,7.6,2013
2013-10,Prince Edward Island,units,thousands,units,70.2,119.0,12.1,2013
2013-10,Quebec,units,thousands,units,65.6,6717.9,7.8,2013
2013-10,Saskatchewan,units,thousands,units,69.0,840.1,3.9,2013
2013-01,Alberta,units,thousands,units,73.6,3117.7,4.6,2013
2013-01,British Columbia,units,thousands,units,65.1,3799.0,6.5,2013
2013-01,Canada,units,thousands,units,66.9,28399.4,7.1,2013
2013-01,Manitoba,units,thousands,units,69.1,957.9,4.6,2013
2013-01,New Brunswick,units,thousands,units,64.0,624.5,11.5,2013
2013-01,Newfoundland and Labrador,units,thousands,units,62.2,444.0,12.1,2013
2013-01,Nova Scotia,units,thousands,units,64.8,779.3,9.5,2013
2013-01,Ontario,units,thousands,units,66.5,11031.9,7.7,2013
2013-01,Prince Edward Island,units,thousands,units,70.6,119.2,12.0,2013
2013-01,Quebec,units,thousands,units,65.6,6694.3,7.3,2013
2013-01,Saskatchewan,units,thousands,units,70.7,831.6,3.9,2013
2013-03,Alberta,units,thousands,units,73.3,3131.3,4.7,2013
2013-03,British Columbia,units,thousands,units,65.2,3807.6,7.0,2013
2013-03,Canada,units,thousands,units,66.9,28442.3,7.3,2013
2013-03,Manitoba,units,thousands,units,69.2,959.2,5.1,2013
2013-03,New Brunswick,units,thousands,units,63.7,624.5,10.8,2013
2013-03,Newfoundland and Labrador,units,thousands,units,62.1,444.2,12.4,2013
2013-03,Nova Scotia,units,thousands,units,65.0,778.7,9.2,2013
2013-03,Ontario,units,thousands,units,66.5,11047.1,7.6,2013
2013-03,Prince Edward Island,units,thousands,units,70.8,119.1,11.6,2013
2013-03,Quebec,units,thousands,units,65.5,6697.7,8.0,2013
2013-03,Saskatchewan,units,thousands,units,70.7,832.9,4.0,2013
2013-02,Alberta,units,thousands,units,73.6,3123.4,4.6,2013
2013-02,British Columbia,units,thousands,units,65.5,3802.9,6.5,2013
2013-02,Canada,units,thousands,units,67.1,28417.6,7.0,2013
2013-02,Manitoba,units,thousands,units,69.3,958.5,5.1,2013
2013-02,New Brunswick,units,thousands,units,63.7,624.6,10.6,2013
2013-02,Newfoundland and Labrador,units,thousands,units,62.2,444.1,11.9,2013
2013-02,Nova Scotia,units,thousands,units,64.7,779.0,9.1,2013
2013-02,Ontario,units,thousands,units,66.7,11038.6,7.5,2013
2013-02,Prince Edward Island,units,thousands,units,70.8,119.2,11.8,2013
2013-02,Quebec,units,thousands,units,65.5,6695.2,7.5,2013
2013-02,Saskatchewan,units,thousands,units,70.8,832.1,4.2,2013
2014-12,Alberta,units,thousands,units,73.1,3263.0,4.9,2014
2014-12,British Columbia,units,thousands,units,63.9,3928.8,5.4,2014
2014-12,Canada,units,thousands,units,66.1,28962.0,6.7,2014
2014-12,Manitoba,units,thousands,units,68.9,977.8,5.5,2014
2014-12,New Brunswick,units,thousands,units,62.8,626.8,10.0,2014
2014-12,Newfoundland and Labrador,units,thousands,units,61.1,446.3,12.0,2014
2014-12,Nova Scotia,units,thousands,units,63.2,777.3,8.3,2014
2014-12,Ontario,units,thousands,units,65.7,11228.9,7.0,2014
2014-12,Prince Edward Island,units,thousands,units,68.7,119.4,11.5,2014
2014-12,Quebec,units,thousands,units,64.7,6744.4,7.5,2014
2014-12,Saskatchewan,units,thousands,units,69.6,849.2,3.7,2014
2014-06,Alberta,units,thousands,units,73.3,3238.9,4.9,2014
2014-06,British Columbia,units,thousands,units,64.3,3896.4,6.4,2014
2014-06,Canada,units,thousands,units,66.3,28841.3,7.1,2014
2014-06,Manitoba,units,thousands,units,68.1,972.4,5.4,2014
2014-06,New Brunswick,units,thousands,units,63.3,625.8,9.4,2014
2014-06,Newfoundland and Labrador,units,thousands,units,60.5,445.8,12.8,2014
2014-06,Nova Scotia,units,thousands,units,63.5,777.4,9.3,2014
2014-06,Ontario,units,thousands,units,66.0,11185.5,7.5,2014
2014-06,Prince Edward Island,units,thousands,units,68.0,119.2,10.0,2014
2014-06,Quebec,units,thousands,units,65.0,6733.7,7.9,2014
2014-06,Saskatchewan,units,thousands,units,69.6,845.9,4.0,2014
2014-07,Alberta,units,thousands,units,72.7,3244.6,4.4,2014
2014-07,British Columbia,units,thousands,units,64.2,3902.4,6.3,2014
2014-07,Canada,units,thousands,units,66.4,28866.5,7.1,2014
2014-07,Manitoba,units,thousands,units,68.2,973.4,5.3,2014
2014-07,New Brunswick,units,thousands,units,63.1,625.9,9.9,2014
2014-07,Newfoundland and Labrador,units,thousands,units,61.5,445.8,13.1,2014
2014-07,Nova Scotia,units,thousands,units,63.4,777.4,9.6,2014
2014-07,Ontario,units,thousands,units,66.3,11194.3,7.5,2014
2014-07,Prince Edward Island,units,thousands,units,67.8,119.2,9.2,2014
2014-07,Quebec,units,thousands,units,65.1,6737.0,8.0,2014
2014-07,Saskatchewan,units,thousands,units,69.4,846.5,3.5,2014
2014-05,Alberta,units,thousands,units,73.0,3231.4,4.8,2014
2014-05,British Columbia,units,thousands,units,64.6,3888.8,6.7,2014
2014-05,Canada,units,thousands,units,66.4,28808.4,7.3,2014
2014-05,Manitoba,units,thousands,units,68.1,971.1,5.6,2014
2014-05,New Brunswick,units,thousands,units,63.7,625.9,10.6,2014
