"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","49.8","","","","1"
"1982","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","55.4","","","","1"
"1983","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","58.3","","","","1"
"1984","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","59.8","","","","1"
"1985","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","61.6","","","","1"
"1986","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","63.7","","","","1"
"1987","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","66.3","","","","1"
"1988","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","68.1","","","","1"
"1989","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","70.9","","","","1"
"1990","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","75.0","","","","1"
"1991","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","79.4","","","","1"
"1992","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","80.6","","","","1"
"1993","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","81.4","","","","1"
"1994","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","82.6","","","","1"
"1995","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","84.5","","","","1"
"1996","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","86.4","","","","1"
"1997","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","88.1","","","","1"
"1998","Alberta","2016A000248","All-items","2002=100","17","units","0","v41694625","23.2","89.2","","","","1"
