"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","51.8","","","","1"
"1982","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","57.3","","","","1"
"1983","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","60.4","","","","1"
"1984","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","62.8","","","","1"
"1985","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","64.8","","","","1"
"1986","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","66.7","","","","1"
"1987","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","68.7","","","","1"
"1988","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","71.2","","","","1"
"1989","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","74.4","","","","1"
"1990","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","78.4","","","","1"
"1991","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","82.6","","","","1"
"1992","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","84.8","","","","1"
"1993","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","87.8","","","","1"
"1994","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","89.5","","","","1"
"1995","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","91.6","","","","1"
"1996","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","92.4","","","","1"
"1997","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","93.1","","","","1"
"1998","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","93.4","","","","1"
"1999","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","94.4","","","","1"
"2000","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","96.1","","","","1"
"2001","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","97.7","","","","1"
"2002","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","100.0","","","","1"
"2003","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","102.2","","","","1"
"2004","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","104.2","","","","1"
"2005","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","106.3","","","","1"
"2006","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","108.1","","","","1"
"2007","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","110.0","","","","1"
"2008","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","112.3","","","","1"
"2009","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","112.3","","","","1"
"2010","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","113.8","","","","1"
"2011","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","116.5","","","","1"
"2012","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","117.8","","","","1"
"2013","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","117.7","","","","1"
"2014","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","118.9","","","","1"
"2015","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","120.2","","","","1"
"2016","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","122.4","","","","1"
"2017","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","125.0","","","","1"
"2018","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","128.4","","","","1"
"2019","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","131.4","","","","1"
"2020","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","132.4","","","","1"
"2021","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","136.1","","","","1"
"2022","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","145.5","","","","1"
"2023","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","151.2","","","","1"
"1981","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","52.4","","","","1"
"1982","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","56.6","","","","1"
"1983","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","58.9","","","","1"
"1984","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","61.9","","","","1"
"1985","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","63.0","","","","1"
"1986","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","65.7","","","","1"
"1987","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","68.1","","","","1"
"1988","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","69.9","","","","1"
"1989","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","71.4","","","","1"
"1990","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","75.6","","","","1"
"1991","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","81.0","","","","1"
"1992","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","82.9","","","","1"
"1993","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","85.5","","","","1"
"1994","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","86.4","","","","1"
