"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","50.9","","","","1"
"1982","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","55.6","","","","1"
"1983","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","59.3","","","","1"
"1984","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","62.3","","","","1"
"1985","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","65.2","","","","1"
"1986","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","67.5","","","","1"
"1987","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","69.4","","","","1"
"1988","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","71.8","","","","1"
"1989","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","75.2","","","","1"
"1990","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","78.7","","","","1"
"1991","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","83.8","","","","1"
"1992","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","84.3","","","","1"
"1993","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","85.4","","","","1"
"1994","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","85.9","","","","1"
"1995","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","87.2","","","","1"
"1996","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","88.5","","","","1"
"1997","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","90.1","","","","1"
"1998","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","90.6","","","","1"
"1999","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","92.1","","","","1"
"2000","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","95.1","","","","1"
"2001","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","96.8","","","","1"
"2002","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","100.0","","","","1"
"2003","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","103.4","","","","1"
"2004","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","104.9","","","","1"
"2005","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","107.4","","","","1"
"2006","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","109.2","","","","1"
"2007","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","111.3","","","","1"
"2008","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","113.2","","","","1"
"2009","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","113.5","","","","1"
"2010","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","115.9","","","","1"
"2011","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","120.0","","","","1"
"2012","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","122.0","","","","1"
