"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","126.0","","","","1"
"2014","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","128.4","","","","1"
"2015","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","129.0","","","","1"
"2016","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","132.5","","","","1"
"2017","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","135.7","","","","1"
"2018","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","137.9","","","","1"
"2019","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","139.3","","","","1"
"2020","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","139.6","","","","1"
"2021","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","144.7","","","","1"
"2022","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","153.9","","","","1"
"2023","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41693542","3.2","159.0","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","134.5","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","137.7","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","142.9","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","146.4","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","145.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","145.5","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","148.2","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","150.8","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","154.7","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","169.0","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Food","2002=100","17","units","0","v41693543","3.3","182.2","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","147.7","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","150.0","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","150.1","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","152.2","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","155.7","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","161.0","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","163.4","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","165.2","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","169.3","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","180.2","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Shelter","2002=100","17","units","0","v41693575","3.79","189.1","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","112.6","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","114.9","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","117.1","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","122.7","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","124.3","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","124.3","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","122.5","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","122.3","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","120.3","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","123.1","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Household operations, furnishings and equipment","2002=100","17","units","0","v41693587","3.96","124.6","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","94.1","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","94.9","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","96.5","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","95.2","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","96.4","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","97.4","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","98.0","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","95.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","94.2","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","95.0","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Clothing and footwear","2002=100","17","units","0","v41693602","3.139","94.4","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","126.7","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","129.0","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","124.1","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","129.5","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","136.7","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","141.3","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","144.0","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","141.6","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","155.9","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","173.2","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Transportation","2002=100","17","units","0","v41693610","3.176","172.7","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","169.0","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","170.5","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","143.1","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","149.2","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","162.9","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","166.5","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","159.1","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","138.7","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","189.5","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","238.5","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Gasoline","2002=100","17","units","0","v41693616","3.184","222.2","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Health and personal care","2002=100","17","units","0","v41693626","3.201","113.7","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Health and personal care","2002=100","17","units","0","v41693626","3.201","113.4","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Health and personal care","2002=100","17","units","0","v41693626","3.201","114.5","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Health and personal care","2002=100","17","units","0","v41693626","3.201","117.0","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Health and personal care","2002=100","17","units","0","v41693626","3.201","119.6","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Health and personal care","2002=100","17","units","0","v41693626","3.201","120.2","","","","1"
