"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","123.0","","","","1"
"2014","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","125.9","","","","1"
"2015","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","127.4","","","","1"
"2016","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","129.7","","","","1"
"2017","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","131.9","","","","1"
"2018","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","135.0","","","","1"
"2019","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","137.5","","","","1"
"2020","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","138.4","","","","1"
"2021","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","143.2","","","","1"
"2022","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","152.9","","","","1"
"2023","Ontario","2016A000235","All-items","2002=100","17","units","0","v41694217","14.2","158.7","","","","1"
"2013","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","132.9","","","","1"
"2014","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","136.2","","","","1"
"2015","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","141.2","","","","1"
"2016","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","143.5","","","","1"
"2017","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","143.3","","","","1"
"2018","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","147.4","","","","1"
"2019","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","152.6","","","","1"
"2020","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","155.5","","","","1"
"2021","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","159.4","","","","1"
"2022","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","173.9","","","","1"
"2023","Ontario","2016A000235","Food","2002=100","17","units","0","v41694218","14.3","186.3","","","","1"
"2013","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","126.9","","","","1"
"2014","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","131.5","","","","1"
"2015","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","134.5","","","","1"
"2016","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","138.1","","","","1"
"2017","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","140.4","","","","1"
"2018","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","142.7","","","","1"
"2019","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","147.0","","","","1"
"2020","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","150.1","","","","1"
"2021","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","156.5","","","","1"
"2022","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","167.6","","","","1"
"2023","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41694250","14.79","176.4","","","","1"
"2013","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","115.4","","","","1"
"2014","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","117.8","","","","1"
"2015","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","121.5","","","","1"
"2016","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","123.3","","","","1"
"2017","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","124.0","","","","1"
"2018","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","125.8","","","","1"
"2019","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","125.3","","","","1"
"2020","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","125.4","","","","1"
"2021","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","127.6","","","","1"
"2022","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","133.9","","","","1"
"2023","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41694263","14.96","135.5","","","","1"
"2013","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","88.9","","","","1"
"2014","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","91.7","","","","1"
"2015","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","92.2","","","","1"
"2016","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","92.0","","","","1"
"2017","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","89.9","","","","1"
"2018","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","90.4","","","","1"
"2019","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","91.9","","","","1"
"2020","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","90.3","","","","1"
"2021","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","90.3","","","","1"
"2022","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","92.5","","","","1"
"2023","Ontario","2016A000235","Clothing and footwear","2002=100","17","units","0","v41694278","14.139","94.0","","","","1"
"2013","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","131.7","","","","1"
"2014","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","132.6","","","","1"
"2015","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","127.1","","","","1"
"2016","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","128.4","","","","1"
"2017","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","134.0","","","","1"
"2018","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","139.8","","","","1"
"2019","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","142.1","","","","1"
"2020","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","141.9","","","","1"
"2021","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","151.7","","","","1"
"2022","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","166.4","","","","1"
"2023","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41694286","14.176","167.9","","","","1"
"2013","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","186.4","","","","1"
"2014","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","187.3","","","","1"
"2015","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","153.8","","","","1"
"2016","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","145.3","","","","1"
"2017","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","164.6","","","","1"
"2018","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","182.9","","","","1"
"2019","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","170.2","","","","1"
"2020","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","146.4","","","","1"
"2021","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","192.5","","","","1"
"2022","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","245.2","","","","1"
"2023","Ontario","2016A000235","Gasoline","2002=100","17","units","0","v41694292","14.184","225.2","","","","1"
"2013","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","118.8","","","","1"
"2014","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","120.0","","","","1"
"2015","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","121.9","","","","1"
"2016","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","123.4","","","","1"
"2017","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","125.8","","","","1"
"2018","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","128.0","","","","1"
"2019","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","128.8","","","","1"
"2020","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","129.6","","","","1"
"2021","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","133.3","","","","1"
"2022","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","139.7","","","","1"
"2023","Ontario","2016A000235","Health and personal care","2002=100","17","units","0","v41694302","14.201","147.6","","","","1"
"2013","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","107.9","","","","1"
"2014","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","109.5","","","","1"
"2015","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","111.7","","","","1"
"2016","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","114.1","","","","1"
"2017","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","117.5","","","","1"
"2018","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","119.3","","","","1"
"2019","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","119.9","","","","1"
"2020","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","117.6","","","","1"
"2021","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","118.6","","","","1"
"2022","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","123.6","","","","1"
"2023","Ontario","2016A000235","Recreation, education and reading","2002=100","17","units","0","v41694312","14.219","126.5","","","","1"
