"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","128.0","","","","1"
"2014","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","130.1","","","","1"
"2015","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","129.3","","","","1"
"2016","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","130.8","","","","1"
"2017","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","133.2","","","","1"
"2018","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","136.3","","","","1"
"2019","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","137.9","","","","1"
"2020","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","137.9","","","","1"
"2021","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","144.9","","","","1"
"2022","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","157.8","","","","1"
"2023","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41693677","5.2","162.3","","","","1"
"2013","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","138.8","","","","1"
"2014","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","140.8","","","","1"
"2015","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","146.4","","","","1"
"2016","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","150.0","","","","1"
"2017","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","146.8","","","","1"
"2018","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","147.6","","","","1"
"2019","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","152.9","","","","1"
"2020","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","159.1","","","","1"
"2021","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","164.2","","","","1"
"2022","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","180.2","","","","1"
"2023","Prince Edward Island","2016A000211","Food","2002=100","17","units","0","v41693678","5.3","194.4","","","","1"
"2013","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","133.0","","","","1"
"2014","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","135.2","","","","1"
"2015","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","131.8","","","","1"
"2016","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","131.4","","","","1"
"2017","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","133.8","","","","1"
"2018","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","138.2","","","","1"
"2019","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","139.0","","","","1"
"2020","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","137.8","","","","1"
"2021","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","149.5","","","","1"
"2022","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","168.6","","","","1"
"2023","Prince Edward Island","2016A000211","Shelter","2002=100","17","units","0","v41693710","5.79","172.5","","","","1"
"2013","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","119.8","","","","1"
"2014","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","121.8","","","","1"
"2015","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","125.0","","","","1"
"2016","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","128.8","","","","1"
"2017","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","129.6","","","","1"
"2018","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","129.7","","","","1"
"2019","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","129.9","","","","1"
"2020","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","130.2","","","","1"
"2021","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","131.3","","","","1"
"2022","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","139.1","","","","1"
"2023","Prince Edward Island","2016A000211","Household operations, furnishings and equipment","2002=100","17","units","0","v41693722","5.96","138.8","","","","1"
"2013","Prince Edward Island","2016A000211","Clothing and footwear","2002=100","17","units","0","v41693737","5.139","104.6","","","","1"
