"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","50.2","","","","1"
"1982","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","56.0","","","","1"
"1983","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","59.1","","","","1"
"1984","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","61.5","","","","1"
"1985","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","64.2","","","","1"
"1986","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","67.3","","","","1"
"1987","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","70.2","","","","1"
"1988","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","72.8","","","","1"
"1989","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","75.9","","","","1"
"1990","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","79.2","","","","1"
"1991","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","85.0","","","","1"
"1992","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","86.6","","","","1"
"1993","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","87.7","","","","1"
"1994","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","86.6","","","","1"
"1995","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","88.1","","","","1"
"1996","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","89.5","","","","1"
"1997","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","90.8","","","","1"
"1998","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","92.1","","","","1"
"1999","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","93.5","","","","1"
"2000","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","95.8","","","","1"
"2001","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","98.0","","","","1"
"2002","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","100.0","","","","1"
"2003","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","102.5","","","","1"
"2004","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","104.5","","","","1"
"2005","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","106.9","","","","1"
"2006","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","108.7","","","","1"
"2007","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","110.4","","","","1"
"2008","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","112.7","","","","1"
"2009","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","113.4","","","","1"
"2010","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","114.8","","","","1"
"2011","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","118.3","","","","1"
"2012","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","120.8","","","","1"
"2013","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","121.7","","","","1"
"2014","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","123.4","","","","1"
"2015","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","124.7","","","","1"
"2016","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","125.6","","","","1"
"2017","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","126.9","","","","1"
"2018","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","129.0","","","","1"
"2019","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","131.7","","","","1"
"2020","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","132.8","","","","1"
"2021","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","137.8","","","","1"
"2022","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","147.0","","","","1"
"2023","Quebec","2016A000224","All-items","2002=100","17","units","0","v41694081","11.2","153.6","","","","1"
"1981","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","54.5","","","","1"
"1982","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","58.7","","","","1"
"1983","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","60.1","","","","1"
"1984","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","62.9","","","","1"
"1985","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","65.2","","","","1"
"1986","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","69.5","","","","1"
"1987","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","73.0","","","","1"
"1988","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","74.9","","","","1"
"1989","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","77.9","","","","1"
"1990","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","80.3","","","","1"
"1991","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","83.3","","","","1"
"1992","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","82.9","","","","1"
"1993","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","83.3","","","","1"
"1994","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","83.7","","","","1"
"1995","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","85.1","","","","1"
"1996","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","86.8","","","","1"
"1997","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","88.5","","","","1"
"1998","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","90.8","","","","1"
"1999","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","91.7","","","","1"
"2000","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","93.3","","","","1"
"2001","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","97.9","","","","1"
"2002","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","100.0","","","","1"
"2003","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","102.1","","","","1"
"2004","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","105.0","","","","1"
"2005","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","107.8","","","","1"
"2006","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","110.9","","","","1"
"2007","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","113.4","","","","1"
"2008","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","117.0","","","","1"
"2009","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","123.1","","","","1"
"2010","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","124.8","","","","1"
"2011","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","129.2","","","","1"
"2012","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","132.4","","","","1"
"2013","Quebec","2016A000224","Food","2002=100","17","units","0","v41694082","11.3","133.8","","","","1"
