"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","49.5","","","","1"
"1982","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","54.0","","","","1"
"1983","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","57.4","","","","1"
"1984","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","59.8","","","","1"
"1985","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","62.0","","","","1"
"1986","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","63.7","","","","1"
"1987","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","66.8","","","","1"
"1988","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","69.8","","","","1"
"1989","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","72.9","","","","1"
"1990","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","76.0","","","","1"
"1991","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","80.0","","","","1"
"1992","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","80.8","","","","1"
"1993","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","83.3","","","","1"
"1994","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","84.8","","","","1"
"1995","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","86.4","","","","1"
"1996","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","88.1","","","","1"
"1997","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","89.2","","","","1"
"1998","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","90.4","","","","1"
"1999","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","92.0","","","","1"
"2000","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","94.4","","","","1"
"2001","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","97.2","","","","1"
"2002","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","100.0","","","","1"
"2003","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","102.3","","","","1"
"2004","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","104.6","","","","1"
"2005","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","106.9","","","","1"
"2006","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","109.1","","","","1"
"2007","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","112.2","","","","1"
"2008","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","115.9","","","","1"
"2009","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","117.1","","","","1"
"2010","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","118.7","","","","1"
"2011","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","122.0","","","","1"
"2012","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","123.9","","","","1"
"2013","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","125.7","","","","1"
"2014","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","128.7","","","","1"
"2015","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","130.8","","","","1"
"2016","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","132.2","","","","1"
"2017","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","134.4","","","","1"
"2018","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","137.5","","","","1"
"2019","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","139.9","","","","1"
