"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","117.7","","","","1"
"2014","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","118.9","","","","1"
"2015","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","120.2","","","","1"
"2016","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","122.4","","","","1"
"2017","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","125.0","","","","1"
"2018","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","128.4","","","","1"
"2019","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","131.4","","","","1"
"2020","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","132.4","","","","1"
"2021","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","136.1","","","","1"
"2022","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","145.5","","","","1"
"2023","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41694760","26.2","151.2","","","","1"
"2013","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","127.4","","","","1"
"2014","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","129.5","","","","1"
"2015","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","134.5","","","","1"
"2016","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","136.9","","","","1"
"2017","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","137.7","","","","1"
"2018","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","140.1","","","","1"
"2019","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","145.6","","","","1"
"2020","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","149.5","","","","1"
"2021","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","153.1","","","","1"
"2022","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","165.4","","","","1"
"2023","British Columbia","2016A000259","Food","2002=100","17","units","0","v41694761","26.3","177.1","","","","1"
"2013","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","113.3","","","","1"
"2014","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","114.2","","","","1"
"2015","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","114.1","","","","1"
"2016","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","115.7","","","","1"
"2017","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","118.7","","","","1"
"2018","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","122.5","","","","1"
"2019","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","125.4","","","","1"
"2020","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","127.2","","","","1"
"2021","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","132.7","","","","1"
"2022","British Columbia","2016A000259","Shelter","2002=100","17","units","0","v41694793","26.79","142.8","","","","1"
