"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","126.6","","","","1"
"2014","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","128.8","","","","1"
"2015","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","129.3","","","","1"
"2016","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","130.9","","","","1"
"2017","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","132.4","","","","1"
"2018","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","135.3","","","","1"
"2019","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","137.5","","","","1"
"2020","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","137.9","","","","1"
"2021","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","143.5","","","","1"
"2022","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","154.3","","","","1"
"2023","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41693811","7.2","160.5","","","","1"
"2013","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","139.6","","","","1"
"2014","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","141.5","","","","1"
"2015","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","147.8","","","","1"
"2016","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","151.4","","","","1"
"2017","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","148.4","","","","1"
"2018","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","148.9","","","","1"
"2019","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","153.0","","","","1"
"2020","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","157.2","","","","1"
"2021","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","161.0","","","","1"
"2022","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","175.7","","","","1"
"2023","Nova Scotia","2016A000212","Food","2002=100","17","units","0","v41693812","7.3","189.6","","","","1"
"2013","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","138.1","","","","1"
"2014","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","141.1","","","","1"
"2015","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","139.7","","","","1"
"2016","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","139.4","","","","1"
"2017","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","141.7","","","","1"
"2018","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","146.1","","","","1"
"2019","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","149.2","","","","1"
"2020","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","150.0","","","","1"
"2021","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","157.2","","","","1"
"2022","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","170.7","","","","1"
"2023","Nova Scotia","2016A000212","Shelter","2002=100","17","units","0","v41693844","7.79","179.9","","","","1"
"2013","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","115.0","","","","1"
"2014","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","117.2","","","","1"
"2015","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","120.5","","","","1"
"2016","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","122.7","","","","1"
"2017","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","122.3","","","","1"
"2018","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","122.2","","","","1"
"2019","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","122.1","","","","1"
"2020","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","122.0","","","","1"
"2021","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","122.4","","","","1"
"2022","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","127.3","","","","1"
"2023","Nova Scotia","2016A000212","Household operations, furnishings and equipment","2002=100","17","units","0","v41693856","7.96","127.5","","","","1"
"2013","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","95.9","","","","1"
"2014","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","98.2","","","","1"
"2015","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","100.0","","","","1"
"2016","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","96.3","","","","1"
"2017","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","96.7","","","","1"
"2018","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","99.6","","","","1"
"2019","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","100.2","","","","1"
"2020","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","98.9","","","","1"
"2021","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","97.4","","","","1"
"2022","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","99.5","","","","1"
"2023","Nova Scotia","2016A000212","Clothing and footwear","2002=100","17","units","0","v41693871","7.139","102.1","","","","1"
"2013","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","124.5","","","","1"
"2014","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","125.9","","","","1"
"2015","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","120.9","","","","1"
"2016","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","122.6","","","","1"
"2017","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","126.4","","","","1"
"2018","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","131.9","","","","1"
"2019","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","134.5","","","","1"
"2020","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","133.0","","","","1"
"2021","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","146.6","","","","1"
"2022","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","165.5","","","","1"
"2023","Nova Scotia","2016A000212","Transportation","2002=100","17","units","0","v41693879","7.176","167.2","","","","1"
"2013","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","176.6","","","","1"
"2014","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","176.9","","","","1"
"2015","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","143.1","","","","1"
"2016","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","134.1","","","","1"
"2017","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","146.7","","","","1"
"2018","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","160.4","","","","1"
"2019","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","153.9","","","","1"
"2020","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","124.8","","","","1"
"2021","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","173.9","","","","1"
"2022","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","227.7","","","","1"
"2023","Nova Scotia","2016A000212","Gasoline","2002=100","17","units","0","v41693885","7.184","218.1","","","","1"
"2013","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","115.5","","","","1"
"2014","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","116.4","","","","1"
"2015","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","117.6","","","","1"
"2016","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","119.7","","","","1"
"2017","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","121.7","","","","1"
"2018","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","122.5","","","","1"
"2019","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","122.8","","","","1"
"2020","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","125.2","","","","1"
"2021","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","127.7","","","","1"
"2022","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","132.5","","","","1"
"2023","Nova Scotia","2016A000212","Health and personal care","2002=100","17","units","0","v41693895","7.201","141.6","","","","1"
"2013","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","107.7","","","","1"
"2014","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","109.6","","","","1"
"2015","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","111.0","","","","1"
"2016","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","114.6","","","","1"
"2017","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","117.7","","","","1"
"2018","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","120.2","","","","1"
"2019","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","121.9","","","","1"
"2020","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","120.7","","","","1"
"2021","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","123.1","","","","1"
"2022","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","128.4","","","","1"
"2023","Nova Scotia","2016A000212","Recreation, education and reading","2002=100","17","units","0","v41693905","7.219","133.1","","","","1"
"2013","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","167.9","","","","1"
"2014","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","176.2","","","","1"
"2015","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","181.2","","","","1"
"2016","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","187.3","","","","1"
"2017","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","193.6","","","","1"
"2018","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","198.2","","","","1"
"2019","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","201.6","","","","1"
"2020","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","205.8","","","","1"
"2021","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","210.7","","","","1"
"2022","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","218.8","","","","1"
"2023","Nova Scotia","2016A000212","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41693918","7.256","230.1","","","","1"
"2013","Nova Scotia","2016A000212","All-items excluding food and energy","2002=100","17","units","0","v41693936","7.285","116.7","","","","1"
"2014","Nova Scotia","2016A000212","All-items excluding food and energy","2002=100","17","units","0","v41693936","7.285","118.6","","","","1"
"2015","Nova Scotia","2016A000212","All-items excluding food and energy","2002=100","17","units","0","v41693936","7.285","120.6","","","","1"
"2016","Nova Scotia","2016A000212","All-items excluding food and energy","2002=100","17","units","0","v41693936","7.285","122.9","","","","1"
"2017","Nova Scotia","2016A000212","All-items excluding food and energy","2002=100","17","units","0","v41693936","7.285","124.4","","","","1"
