"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","125.7","","","","1"
"2014","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","128.7","","","","1"
"2015","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","130.8","","","","1"
"2016","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","132.2","","","","1"
"2017","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","134.4","","","","1"
"2018","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","137.5","","","","1"
"2019","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","139.9","","","","1"
"2020","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","140.7","","","","1"
"2021","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","144.4","","","","1"
"2022","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","153.9","","","","1"
"2023","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41694489","20.2","160.0","","","","1"
"2013","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","134.0","","","","1"
"2014","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","138.1","","","","1"
"2015","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","143.4","","","","1"
"2016","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","144.5","","","","1"
"2017","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","146.1","","","","1"
"2018","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","147.1","","","","1"
"2019","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","151.8","","","","1"
"2020","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","155.3","","","","1"
"2021","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","159.0","","","","1"
"2022","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","172.2","","","","1"
"2023","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41694490","20.3","185.0","","","","1"
"2013","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","149.4","","","","1"
"2014","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","154.4","","","","1"
"2015","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","158.7","","","","1"
"2016","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","160.5","","","","1"
"2017","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","163.5","","","","1"
"2018","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","167.4","","","","1"
"2019","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","170.4","","","","1"
"2020","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","171.9","","","","1"
"2021","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","173.2","","","","1"
"2022","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","182.2","","","","1"
"2023","Saskatchewan","2016A000247","Shelter","2002=100","17","units","0","v41694522","20.79","193.6","","","","1"
"2013","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","108.7","","","","1"
"2014","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","110.5","","","","1"
"2015","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","112.4","","","","1"
"2016","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","114.4","","","","1"
"2017","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","112.8","","","","1"
"2018","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","113.8","","","","1"
"2019","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","114.5","","","","1"
"2020","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","116.1","","","","1"
"2021","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","116.8","","","","1"
"2022","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","121.4","","","","1"
"2023","Saskatchewan","2016A000247","Household operations, furnishings and equipment","2002=100","17","units","0","v41694535","20.96","122.0","","","","1"
"2013","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","96.5","","","","1"
"2014","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","97.1","","","","1"
"2015","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","98.8","","","","1"
"2016","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","98.6","","","","1"
"2017","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","99.8","","","","1"
"2018","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","100.8","","","","1"
"2019","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","103.5","","","","1"
"2020","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","102.4","","","","1"
"2021","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","102.6","","","","1"
"2022","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","102.2","","","","1"
"2023","Saskatchewan","2016A000247","Clothing and footwear","2002=100","17","units","0","v41694550","20.139","102.5","","","","1"
"2013","Saskatchewan","2016A000247","Transportation","2002=100","17","units","0","v41694558","20.176","119.9","","","","1"
"2014","Saskatchewan","2016A000247","Transportation","2002=100","17","units","0","v41694558","20.176","122.4","","","","1"
"2015","Saskatchewan","2016A000247","Transportation","2002=100","17","units","0","v41694558","20.176","120.1","","","","1"
"2016","Saskatchewan","2016A000247","Transportation","2002=100","17","units","0","v41694558","20.176","121.8","","","","1"
