"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","74785","","","","0"
"1982","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","74931","","","","0"
"1983","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","76465","","","","0"
"1984","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","77002","","","","0"
"1985","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","80953","","","","0"
"1986","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","81194","","","","0"
"1987","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","82988","","","","0"
"1988","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","85503","","","","0"
"1989","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","88840","","","","0"
"1990","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","91375","","","","0"
"1991","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","90491","","","","0"
"1992","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","91375","","","","0"
"1993","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","92701","","","","0"
"1994","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","93724","","","","0"
"1995","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","94882","","","","0"
"1996","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","96845","","","","0"
"1997","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","102525","","","","0"
"1998","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","106850","","","","0"
"1999","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","110566","","","","0"
"2000","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","116613","","","","0"
"2001","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","121259","","","","0"
"2002","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","126360","","","","0"
"2003","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","130450","","","","0"
"2004","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","136210","","","","0"
"2005","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","145163","","","","0"
"2006","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","155904","","","","0"
"2007","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","165769","","","","0"
"2008","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","171723","","","","0"
"2009","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","171464","","","","0"
"2010","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","177672","","","","0"
"2011","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","184778","","","","0"
"2012","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","191218","","","","0"
"2013","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","198423","","","","0"
"2014","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","204685","","","","0"
