"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","88534","","","","0"
"1982","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","85423","","","","0"
"1983","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","85605","","","","0"
"1984","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","86980","","","","0"
"1985","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","89937","","","","0"
"1986","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","91707","","","","0"
"1987","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","95549","","","","0"
"1988","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","100207","","","","0"
"1989","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","104858","","","","0"
"1990","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","109182","","","","0"
"1991","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","111173","","","","0"
"1992","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","114921","","","","0"
"1993","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","118215","","","","0"
"1994","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","121931","","","","0"
"1995","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","124163","","","","0"
"1996","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","128501","","","","0"
"1997","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","132588","","","","0"
