"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","56385","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","57102","","","","0"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","57878","","","","0"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","58748","","","","0"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","60614","","","","0"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","61890","","","","0"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","62630","","","","0"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","60550","","","","0"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","63791","","","","0"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","66839","","","","0"
"2023","Manitoba","2016A000246","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788043","8.1.1","69063","","","","0"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","37085","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","38108","","","","0"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","38660","","","","0"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","39227","","","","0"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","40679","","","","0"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","41543","","","","0"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","42030","","","","0"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","39209","","","","0"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","41814","","","","0"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","43882","","","","0"
"2023","Manitoba","2016A000246","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788044","8.1.2","44738","","","","0"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","16485","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","16998","","","","0"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","17155","","","","0"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","17360","","","","0"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","18123","","","","0"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","18554","","","","0"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","18588","","","","0"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","18306","","","","0"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","19619","","","","0"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","19721","","","","0"
"2023","Manitoba","2016A000246","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788045","8.1.3","19918","","","","0"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","4720","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5002","","","","0"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5058","","","","0"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5098","","","","0"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5395","","","","0"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5487","","","","0"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5445","","","","0"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5245","","","","0"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5893","","","","0"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5638","","","","0"
"2023","Manitoba","2016A000246","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788046","8.1.4","5784","","","","0"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","2461","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","2553","","","","0"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","2645","","","","0"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","2668","","","","0"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","2793","","","","0"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","2875","","","","0"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","2885","","","","0"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","2608","","","","0"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","3189","","","","0"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","3510","","","","0"
"2023","Manitoba","2016A000246","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788047","8.1.5","3519","","","","0"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","9299","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","9443","","","","0"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","9452","","","","0"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","9595","","","","0"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","9935","","","","0"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","10192","","","","0"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","10256","","","","0"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","10439","","","","0"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","10552","","","","0"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","10608","","","","0"
"2023","Manitoba","2016A000246","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788048","8.1.6","10653","","","","0"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","20600","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","21108","","","","0"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","21505","","","","0"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","21867","","","","0"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","22556","","","","0"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","22989","","","","0"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","23443","","","","0"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","20911","","","","0"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","22205","","","","0"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","24200","","","","0"
"2023","Manitoba","2016A000246","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788049","8.1.7","24869","","","","0"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1225","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1186","","","","0"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1289","","","","0"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1374","","","","0"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1399","","","","0"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1440","","","","0"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1428","","","","0"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1433","","","","0"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1430","","","","0"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1502","","","","0"
"2023","Manitoba","2016A000246","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788050","8.1.8","1561","","","","0"
"2013","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","18091","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","17811","","","","0"
"2015","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","17930","","","","0"
"2016","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","18148","","","","0"
"2017","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","18536","","","","0"
"2018","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","18907","","","","0"
"2019","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","19172","","","","0"
"2020","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","19882","","","","0"
"2021","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","20535","","","","0"
"2022","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","21445","","","","0"
"2023","Manitoba","2016A000246","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788051","8.1.9","22742","","","","0"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788052","8.1.10","15084","","","","0"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788052","8.1.10","15654","","","","0"
