"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","17042","","","","0"
"1982","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","17162","","","","0"
"1983","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","17488","","","","0"
"1984","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","18022","","","","0"
"1985","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","18764","","","","0"
"1986","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","19309","","","","0"
"1987","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","19903","","","","0"
"1988","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","20709","","","","0"
"1989","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","21060","","","","0"
"1990","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","21695","","","","0"
"1991","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","21823","","","","0"
"1992","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","22087","","","","0"
"1993","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","22659","","","","0"
"1994","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","22696","","","","0"
"1995","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","22911","","","","0"
"1996","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","23138","","","","0"
"1997","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","23510","","","","0"
"1998","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","24378","","","","0"
"1999","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","25219","","","","0"
"2000","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","25683","","","","0"
"2001","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","25933","","","","0"
"2002","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","26636","","","","0"
"2003","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","27006","","","","0"
"2004","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","27591","","","","0"
"2005","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","28213","","","","0"
"2006","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","29000","","","","0"
"2007","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","30055","","","","0"
"2008","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","31088","","","","0"
"2009","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","31369","","","","0"
"2010","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","32268","","","","0"
"2011","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","32354","","","","0"
"2012","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","32445","","","","0"
"2013","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","32721","","","","0"
"2014","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","32982","","","","0"
"2015","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","33479","","","","0"
