"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","12289","","","","0"
"1982","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","12343","","","","0"
"1983","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","12681","","","","0"
"1984","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","13190","","","","0"
"1985","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","13636","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","13979","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","14458","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15173","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15552","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15729","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15637","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15800","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15734","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15833","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15882","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15762","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","15970","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","16647","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","17200","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","17774","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","18154","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","18692","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","19167","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","19250","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","19555","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","20018","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","21447","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","21829","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","22833","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","23561","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","23983","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","24284","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","24589","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","24740","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25098","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25190","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25299","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25519","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25890","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25039","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","26250","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","26806","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","27486","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","7603","","","","0"
"1982","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","7550","","","","0"
"1983","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","7705","","","","0"
"1984","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","7998","","","","0"
"1985","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","8265","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","8507","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","8837","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","9223","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","9458","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","9492","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","9372","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","9432","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","9479","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","9587","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","9716","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","9749","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","10042","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","10311","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","10713","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","11074","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","11381","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","11740","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","12102","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","12284","","","","0"
