"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","25131","","","","0"
"1982","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","24791","","","","0"
"1983","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","24984","","","","0"
"1984","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","26216","","","","0"
"1985","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","27882","","","","0"
"1986","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","28397","","","","0"
"1987","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","28864","","","","0"
"1988","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","29736","","","","0"
"1989","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","29746","","","","0"
"1990","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","30098","","","","0"
"1991","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","29624","","","","0"
"1992","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","29944","","","","0"
"1993","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","30464","","","","0"
"1994","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","30586","","","","0"
"1995","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","30687","","","","0"
"1996","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","30766","","","","0"
"1997","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","31229","","","","0"
"1998","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","32202","","","","0"
"1999","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","33223","","","","0"
"2000","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","33735","","","","0"
"2001","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","33968","","","","0"
"2002","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","35171","","","","0"
"2003","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","35896","","","","0"
"2004","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","36470","","","","0"
"2005","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","37242","","","","0"
