"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","3784","","","","0"
"2014","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","3978","","","","0"
"2015","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","3988","","","","0"
"2016","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","4038","","","","0"
"2017","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","4114","","","","0"
"2018","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","4217","","","","0"
"2019","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","4286","","","","0"
"2020","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","4362","","","","0"
"2021","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","4522","","","","0"
"2022","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","4606","","","","0"
"2023","Northwest Territories","2016A000261","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788628","13.1.1","4687","","","","0"
"2013","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1620","","","","0"
"2014","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1642","","","","0"
"2015","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1671","","","","0"
"2016","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1685","","","","0"
"2017","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1726","","","","0"
"2018","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1754","","","","0"
"2019","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1762","","","","0"
"2020","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1745","","","","0"
"2021","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1826","","","","0"
"2022","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1781","","","","0"
"2023","Northwest Territories","2016A000261","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788629","13.1.2","1769","","","","0"
"2013","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","744","","","","0"
"2014","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","756","","","","0"
"2015","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","767","","","","0"
"2016","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","760","","","","0"
"2017","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","780","","","","0"
"2018","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","796","","","","0"
"2019","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","804","","","","0"
"2020","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","850","","","","0"
"2021","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","897","","","","0"
"2022","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","827","","","","0"
"2023","Northwest Territories","2016A000261","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788630","13.1.3","765","","","","0"
"2013","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","167","","","","0"
"2014","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","169","","","","0"
"2015","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","169","","","","0"
"2016","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","170","","","","0"
"2017","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","178","","","","0"
"2018","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","183","","","","0"
"2019","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","188","","","","0"
"2020","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","191","","","","0"
"2021","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","206","","","","0"
"2022","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","179","","","","0"
"2023","Northwest Territories","2016A000261","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788631","13.1.4","169","","","","0"
"2013","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","118","","","","0"
"2014","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","120","","","","0"
"2015","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","122","","","","0"
"2016","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","117","","","","0"
"2017","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","120","","","","0"
"2018","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","124","","","","0"
"2019","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","125","","","","0"
"2020","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","138","","","","0"
"2021","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","159","","","","0"
"2022","Northwest Territories","2016A000261","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788632","13.1.5","144","","","","0"
