"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","254882","","","","0"
"1982","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","252419","","","","0"
"1983","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","259358","","","","0"
"1984","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","270843","","","","0"
"1985","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","284818","","","","0"
"1986","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","296506","","","","0"
"1987","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","308928","","","","0"
"1988","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","322769","","","","0"
"1989","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","334595","","","","0"
"1990","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","339974","","","","0"
"1991","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","340022","","","","0"
"1992","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","344231","","","","0"
"1993","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","347533","","","","0"
"1994","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","354287","","","","0"
"1995","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","359658","","","","0"
"1996","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","362729","","","","0"
"1997","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","376833","","","","0"
"1998","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","387996","","","","0"
"1999","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","405206","","","","0"
"2000","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","423606","","","","0"
"2001","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","435054","","","","0"
"2002","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","451396","","","","0"
"2003","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","464293","","","","0"
"2004","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","477965","","","","0"
"2005","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","492978","","","","0"
"2006","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","510381","","","","0"
"2007","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","524418","","","","0"
"2008","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","541231","","","","0"
"2009","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","543811","","","","0"
"2010","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","561913","","","","0"
"2011","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","570506","","","","0"
"2012","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","576853","","","","0"
"2013","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","584819","","","","0"
"2014","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","597197","","","","0"
"2015","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","613879","","","","0"
"2016","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","627859","","","","0"
"2017","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","650060","","","","0"
"2018","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","670260","","","","0"
"2019","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","679633","","","","0"
"2020","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","642048","","","","0"
"2021","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","674541","","","","0"
"2022","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","718522","","","","0"
"2023","Ontario","2016A000235","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787926","7.1.1","731141","","","","0"
"1981","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","171685","","","","0"
"1982","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","168596","","","","0"
"1983","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","174606","","","","0"
"1984","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","182521","","","","0"
"1985","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","192318","","","","0"
"1986","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","202152","","","","0"
"1987","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","212060","","","","0"
"1988","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","222703","","","","0"
"1989","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","230743","","","","0"
"1990","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","231355","","","","0"
"1991","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","227580","","","","0"
"1992","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","230453","","","","0"
"1993","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","233659","","","","0"
"1994","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","240330","","","","0"
"1995","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","245513","","","","0"
"1996","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","251236","","","","0"
"1997","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","263666","","","","0"
"1998","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","273117","","","","0"
"1999","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","286062","","","","0"
"2000","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","299803","","","","0"
"2001","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","307305","","","","0"
"2002","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","319617","","","","0"
"2003","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","328929","","","","0"
"2004","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","338025","","","","0"
"2005","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","350659","","","","0"
"2006","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","361956","","","","0"
"2007","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","375948","","","","0"
"2008","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","385142","","","","0"
"2009","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","384990","","","","0"
"2010","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","398989","","","","0"
"2011","Ontario","2016A000235","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787927","7.1.2","405694","","","","0"
