"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3113","","","","0"
"1982","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3074","","","","0"
"1983","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3174","","","","0"
"1984","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3367","","","","0"
"1985","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3440","","","","0"
"1986","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3483","","","","0"
"1987","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3610","","","","0"
"1988","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3757","","","","0"
"1989","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3821","","","","0"
"1990","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3906","","","","0"
"1991","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3789","","","","0"
"1992","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3798","","","","0"
"1993","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3842","","","","0"
"1994","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3888","","","","0"
"1995","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","3975","","","","0"
"1996","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","4101","","","","0"
"1997","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","4212","","","","0"
"1998","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","4325","","","","0"
"1999","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","4581","","","","0"
"2000","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","4739","","","","0"
"2001","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","4857","","","","0"
"2002","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","4923","","","","0"
"2003","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","5066","","","","0"
"2004","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","5176","","","","0"
"2005","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","5452","","","","0"
"2006","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","5588","","","","0"
"2007","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","5691","","","","0"
"2008","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","5853","","","","0"
"2009","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","5961","","","","0"
"2010","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6161","","","","0"
"2011","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6242","","","","0"
"2012","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6240","","","","0"
"2013","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6257","","","","0"
"2014","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6288","","","","0"
"2015","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6354","","","","0"
"2016","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6485","","","","0"
"2017","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6636","","","","0"
"2018","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6791","","","","0"
"2019","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6973","","","","0"
"2020","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","6863","","","","0"
"2021","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","7419","","","","0"
"2022","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","7664","","","","0"
"2023","Prince Edward Island","2016A000211","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787458","3.1.1","7909","","","","0"
"1981","Prince Edward Island","2016A000211","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787459","3.1.2","1905","","","","0"
"1982","Prince Edward Island","2016A000211","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787459","3.1.2","1876","","","","0"
"1983","Prince Edward Island","2016A000211","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787459","3.1.2","1953","","","","0"
"1984","Prince Edward Island","2016A000211","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787459","3.1.2","2068","","","","0"
"1985","Prince Edward Island","2016A000211","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787459","3.1.2","2110","","","","0"
"1986","Prince Edward Island","2016A000211","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787459","3.1.2","2186","","","","0"
"1987","Prince Edward Island","2016A000211","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787459","3.1.2","2259","","","","0"
