"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","322471","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","327894","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","331102","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","338665","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","348806","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","358162","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","365530","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","351749","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","374634","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","391875","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787809","6.1.1","394714","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","223158","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","227110","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","230740","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","235800","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","243975","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","250623","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","255221","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","239756","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","254354","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","268347","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787810","6.1.2","273046","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","106912","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","108420","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","110460","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","113011","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","116557","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","119904","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","122332","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","120499","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","127598","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","129972","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787811","6.1.3","130360","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","30194","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","30523","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","31431","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","32810","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","34575","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","36009","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","36631","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","33747","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","37528","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","36859","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787812","6.1.4","38642","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","16922","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","17332","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","17971","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","18242","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","18809","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","19491","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","19858","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","19063","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","21476","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","23368","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787813","6.1.5","23180","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","59778","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","60546","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","61056","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","61962","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","63173","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","64410","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","65847","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","67669","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","68628","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","69922","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787814","6.1.6","68747","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","116238","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","118695","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","120280","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","122789","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","127418","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","130719","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","132889","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","119316","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","126817","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","138551","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787815","6.1.7","142940","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","6422","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","6299","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","6418","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","6939","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","6874","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","7218","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","7272","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","7473","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","7488","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","8142","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787816","6.1.8","8366","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","92940","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","94532","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","93952","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","95935","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","97957","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","100321","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","103037","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","104398","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","112616","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","115292","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787817","6.1.9","113314","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","83920","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","78651","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","77084","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","75738","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","82752","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","86996","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","89936","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","89095","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","99335","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","97003","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787818","6.1.10","93397","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","65425","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","61130","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","59048","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","59472","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","64565","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","67287","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","70514","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","69268","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","78183","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","76301","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787819","6.1.11","71492","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","26133","","","","0"
"2014","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","25718","","","","0"
"2015","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","25640","","","","0"
"2016","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","26616","","","","0"
"2017","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","28585","","","","0"
"2018","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","29662","","","","0"
"2019","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","30725","","","","0"
"2020","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","31480","","","","0"
"2021","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","36084","","","","0"
"2022","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","32093","","","","0"
"2023","Quebec","2016A000224","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787820","6.1.12","27246","","","","0"
"2013","Quebec","2016A000224","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787821","6.1.13","31073","","","","0"
