"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","27962","","","","0"
"1982","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","27992","","","","0"
"1983","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","28375","","","","0"
"1984","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","29096","","","","0"
"1985","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","30035","","","","0"
"1986","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","30895","","","","0"
"1987","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","31181","","","","0"
"1988","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","31308","","","","0"
"1989","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","31578","","","","0"
"1990","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","31931","","","","0"
"1991","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","31409","","","","0"
"1992","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","31022","","","","0"
"1993","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","31540","","","","0"
"1994","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","31774","","","","0"
"1995","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","32417","","","","0"
"1996","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","33008","","","","0"
"1997","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","33710","","","","0"
"1998","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","34344","","","","0"
"1999","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","34859","","","","0"
"2000","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","35714","","","","0"
"2001","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","36239","","","","0"
"2002","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","37213","","","","0"
"2003","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","37944","","","","0"
"2004","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","38425","","","","0"
"2005","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","39290","","","","0"
"2006","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","40552","","","","0"
"2007","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","42736","","","","0"
"2008","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","44958","","","","0"
"2009","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","45913","","","","0"
"2010","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","47329","","","","0"
"2011","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","48417","","","","0"
"2012","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","49701","","","","0"
"2013","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","50778","","","","0"
"2014","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","51678","","","","0"
"2015","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","52372","","","","0"
"2016","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","52853","","","","0"
"2017","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","54046","","","","0"
"2018","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","55085","","","","0"
"2019","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","55696","","","","0"
"2020","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","53347","","","","0"
"2021","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","56057","","","","0"
"2022","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","58031","","","","0"
"2023","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","58986","","","","0"
"1981","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","17079","","","","0"
"1982","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","17037","","","","0"
"1983","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","17502","","","","0"
"1984","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","18058","","","","0"
"1985","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","18554","","","","0"
"1986","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","19176","","","","0"
"1987","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","19585","","","","0"
"1988","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","19672","","","","0"
"1989","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","19761","","","","0"
"1990","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","19844","","","","0"
"1991","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","19430","","","","0"
"1992","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","19497","","","","0"
"1993","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","19851","","","","0"
"1994","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","20468","","","","0"
"1995","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","20934","","","","0"
"1996","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","21458","","","","0"
"1997","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","22244","","","","0"
"1998","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","22497","","","","0"
"1999","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","22851","","","","0"
"2000","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","23451","","","","0"
"2001","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","23753","","","","0"
