"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1091","","","","0"
"1982","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1082","","","","0"
"1983","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1048","","","","0"
"1984","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1131","","","","0"
"1985","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1176","","","","0"
"1986","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1260","","","","0"
"1987","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1290","","","","0"
"1988","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1325","","","","0"
"1989","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1379","","","","0"
"1990","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1396","","","","0"
"1991","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1447","","","","0"
"1992","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1602","","","","0"
"1993","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1582","","","","0"
"1994","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1574","","","","0"
"1995","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1646","","","","0"
"1996","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1677","","","","0"
"1997","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1774","","","","0"
"1998","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1864","","","","0"
"1999","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1883","","","","0"
"2000","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1934","","","","0"
"2001","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","1923","","","","0"
"2002","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2040","","","","0"
"2003","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2079","","","","0"
"2004","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2150","","","","0"
"2005","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2258","","","","0"
"2006","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2245","","","","0"
"2007","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2343","","","","0"
"2008","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2445","","","","0"
"2009","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2561","","","","0"
"2010","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2693","","","","0"
"2011","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2760","","","","0"
"2012","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2801","","","","0"
"2013","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2875","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2922","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2975","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3047","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3071","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3152","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3156","","","","0"
