"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","24589","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","24740","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25098","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25190","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25299","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25519","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25890","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","25039","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","26250","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","26806","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787341","2.1.1","27486","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","16297","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","16663","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","16927","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","16942","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","17118","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","17099","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","17460","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","16496","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","17372","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","17621","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787342","2.1.2","18283","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787343","2.1.3","8414","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787343","2.1.3","8579","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787343","2.1.3","8648","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787343","2.1.3","8584","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787343","2.1.3","8613","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787343","2.1.3","8531","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787343","2.1.3","8733","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787343","2.1.3","8644","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787343","2.1.3","9053","","","","0"
