"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","43513","","","","0"
"2014","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","43915","","","","0"
"2015","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","44240","","","","0"
"2016","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","44626","","","","0"
"2017","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","45678","","","","0"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","46510","","","","0"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","47206","","","","0"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","46202","","","","0"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","49463","","","","0"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","51038","","","","0"
"2023","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","52131","","","","0"
"2013","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","28959","","","","0"
"2014","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","29276","","","","0"
"2015","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","29456","","","","0"
"2016","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","29699","","","","0"
"2017","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","30484","","","","0"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","30916","","","","0"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","31392","","","","0"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","30107","","","","0"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","32312","","","","0"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","33217","","","","0"
"2023","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","34073","","","","0"
"2013","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","13746","","","","0"
"2014","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","13897","","","","0"
"2015","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","13948","","","","0"
"2016","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","14002","","","","0"
"2017","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","14466","","","","0"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","14528","","","","0"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","14697","","","","0"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","14325","","","","0"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","15572","","","","0"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","15488","","","","0"
"2023","Nova Scotia","2016A000212","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787577","4.1.3","15725","","","","0"
"2013","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","3502","","","","0"
"2014","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","3572","","","","0"
"2015","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","3658","","","","0"
"2016","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","3739","","","","0"
"2017","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","4018","","","","0"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","3909","","","","0"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","3926","","","","0"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","3712","","","","0"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","4322","","","","0"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","4071","","","","0"
"2023","Nova Scotia","2016A000212","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787578","4.1.4","4329","","","","0"
