"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","50778","","","","0"
"2014","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","51678","","","","0"
"2015","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","52372","","","","0"
"2016","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","52853","","","","0"
"2017","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","54046","","","","0"
"2018","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","55085","","","","0"
"2019","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","55696","","","","0"
"2020","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","53347","","","","0"
"2021","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","56057","","","","0"
"2022","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","58031","","","","0"
"2023","Saskatchewan","2016A000247","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788160","9.1.1","58986","","","","0"
"2013","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","35469","","","","0"
"2014","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","36361","","","","0"
"2015","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","36605","","","","0"
"2016","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","36907","","","","0"
"2017","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","37709","","","","0"
"2018","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","38276","","","","0"
"2019","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","38621","","","","0"
"2020","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","36077","","","","0"
"2021","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","38315","","","","0"
"2022","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","39575","","","","0"
"2023","Saskatchewan","2016A000247","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788161","9.1.2","39973","","","","0"
"2013","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","16210","","","","0"
"2014","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","16463","","","","0"
"2015","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","16298","","","","0"
"2016","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","16241","","","","0"
"2017","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","16582","","","","0"
"2018","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","16725","","","","0"
"2019","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","16903","","","","0"
"2020","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","16480","","","","0"
"2021","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","17585","","","","0"
"2022","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","17583","","","","0"
"2023","Saskatchewan","2016A000247","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788162","9.1.3","17441","","","","0"
"2013","Saskatchewan","2016A000247","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788163","9.1.4","4954","","","","0"
"2014","Saskatchewan","2016A000247","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788163","9.1.4","4966","","","","0"
"2015","Saskatchewan","2016A000247","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788163","9.1.4","4856","","","","0"
"2016","Saskatchewan","2016A000247","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788163","9.1.4","4763","","","","0"
"2017","Saskatchewan","2016A000247","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788163","9.1.4","4927","","","","0"
"2018","Saskatchewan","2016A000247","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788163","9.1.4","4863","","","","0"
