"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","123.0","","","","1"
"2014","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","125.3","","","","1"
"2015","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","126.8","","","","1"
"2016","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","128.4","","","","1"
"2017","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","130.5","","","","1"
"2018","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","133.8","","","","1"
"2019","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","136.8","","","","1"
"2020","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","137.5","","","","1"
"2021","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","142.0","","","","1"
"2022","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","153.2","","","","1"
"2023","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","158.6","","","","1"
"2013","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","133.1","","","","1"
"2014","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","136.7","","","","1"
"2015","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","141.3","","","","1"
"2016","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","141.7","","","","1"
"2017","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","141.6","","","","1"
"2018","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","143.8","","","","1"
"2019","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","148.0","","","","1"
"2020","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","150.9","","","","1"
"2021","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","153.6","","","","1"
"2022","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","167.3","","","","1"
"2023","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","180.4","","","","1"
"2013","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","131.5","","","","1"
