"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","123.0","","","","1"
"2014","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","124.8","","","","1"
"2015","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","125.4","","","","1"
"2016","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","128.2","","","","1"
"2017","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","131.2","","","","1"
"2018","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","134.0","","","","1"
"2019","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","136.3","","","","1"
"2020","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","136.6","","","","1"
"2021","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","141.8","","","","1"
"2022","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","152.1","","","","1"
"2023","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41693946","9.2","157.5","","","","1"
"2013","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","138.5","","","","1"
"2014","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","141.1","","","","1"
"2015","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","147.9","","","","1"
"2016","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","150.6","","","","1"
"2017","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","148.6","","","","1"
"2018","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","150.6","","","","1"
"2019","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","155.6","","","","1"
"2020","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","159.6","","","","1"
"2021","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","165.1","","","","1"
"2022","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","180.3","","","","1"
"2023","New Brunswick","2016A000213","Food","2002=100","17","units","0","v41693947","9.3","194.8","","","","1"
"2013","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","126.8","","","","1"
"2014","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","129.2","","","","1"
"2015","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","129.5","","","","1"
"2016","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","131.7","","","","1"
"2017","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","134.6","","","","1"
"2018","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","137.5","","","","1"
"2019","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","140.2","","","","1"
"2020","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","142.1","","","","1"
"2021","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","147.1","","","","1"
"2022","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","157.6","","","","1"
"2023","New Brunswick","2016A000213","Shelter","2002=100","17","units","0","v41693979","9.79","164.7","","","","1"
"2013","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","115.8","","","","1"
"2014","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","118.1","","","","1"
"2015","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","120.2","","","","1"
"2016","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","123.8","","","","1"
"2017","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","125.3","","","","1"
"2018","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","126.6","","","","1"
"2019","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","125.1","","","","1"
"2020","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","125.4","","","","1"
"2021","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","124.8","","","","1"
"2022","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","128.6","","","","1"
"2023","New Brunswick","2016A000213","Household operations, furnishings and equipment","2002=100","17","units","0","v41693991","9.96","128.9","","","","1"
"2013","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","97.8","","","","1"
"2014","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","97.0","","","","1"
"2015","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","97.3","","","","1"
"2016","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","97.9","","","","1"
"2017","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","100.4","","","","1"
"2018","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","100.9","","","","1"
"2019","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","101.4","","","","1"
"2020","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","98.1","","","","1"
"2021","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","98.2","","","","1"
"2022","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","101.7","","","","1"
"2023","New Brunswick","2016A000213","Clothing and footwear","2002=100","17","units","0","v41694006","9.139","104.3","","","","1"
"2013","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","123.1","","","","1"
"2014","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","124.6","","","","1"
"2015","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","119.6","","","","1"
"2016","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","122.2","","","","1"
"2017","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","127.8","","","","1"
"2018","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","132.9","","","","1"
"2019","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","135.6","","","","1"
"2020","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","133.4","","","","1"
"2021","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","147.1","","","","1"
"2022","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","166.6","","","","1"
"2023","New Brunswick","2016A000213","Transportation","2002=100","17","units","0","v41694014","9.176","168.8","","","","1"
"2013","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","170.8","","","","1"
"2014","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","172.3","","","","1"
"2015","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","141.0","","","","1"
"2016","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","133.3","","","","1"
"2017","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","147.2","","","","1"
"2018","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","162.2","","","","1"
"2019","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","159.2","","","","1"
"2020","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","130.4","","","","1"
"2021","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","175.8","","","","1"
"2022","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","231.5","","","","1"
"2023","New Brunswick","2016A000213","Gasoline","2002=100","17","units","0","v41694020","9.184","222.5","","","","1"
"2013","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","109.5","","","","1"
"2014","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","109.5","","","","1"
"2015","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","111.2","","","","1"
"2016","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","113.5","","","","1"
"2017","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","115.9","","","","1"
"2018","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","117.7","","","","1"
"2019","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","118.6","","","","1"
"2020","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","120.5","","","","1"
"2021","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","122.3","","","","1"
"2022","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","127.6","","","","1"
"2023","New Brunswick","2016A000213","Health and personal care","2002=100","17","units","0","v41694030","9.201","136.4","","","","1"
"2013","New Brunswick","2016A000213","Recreation, education and reading","2002=100","17","units","0","v41694040","9.219","107.4","","","","1"
"2014","New Brunswick","2016A000213","Recreation, education and reading","2002=100","17","units","0","v41694040","9.219","108.6","","","","1"
"2015","New Brunswick","2016A000213","Recreation, education and reading","2002=100","17","units","0","v41694040","9.219","110.5","","","","1"
"2016","New Brunswick","2016A000213","Recreation, education and reading","2002=100","17","units","0","v41694040","9.219","113.2","","","","1"
"2017","New Brunswick","2016A000213","Recreation, education and reading","2002=100","17","units","0","v41694040","9.219","117.5","","","","1"
"2018","New Brunswick","2016A000213","Recreation, education and reading","2002=100","17","units","0","v41694040","9.219","119.6","","","","1"
"2019","New Brunswick","2016A000213","Recreation, education and reading","2002=100","17","units","0","v41694040","9.219","123.2","","","","1"
"2020","New Brunswick","2016A000213","Recreation, education and reading","2002=100","17","units","0","v41694040","9.219","122.0","","","","1"
"2021","New Brunswick","2016A000213","Recreation, education and reading","2002=100","17","units","0","v41694040","9.219","123.3","","","","1"
