"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","198423","","","","0"
"2014","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","204685","","","","0"
"2015","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","206646","","","","0"
"2016","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","208493","","","","0"
"2017","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","214522","","","","0"
"2018","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","219333","","","","0"
"2019","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","219670","","","","0"
"2020","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","208764","","","","0"
"2021","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","218392","","","","0"
"2022","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","224920","","","","0"
"2023","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","232541","","","","0"
"2013","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","144369","","","","0"
"2014","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","149804","","","","0"
"2015","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","150554","","","","0"
"2016","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","150024","","","","0"
"2017","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","154356","","","","0"
"2018","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","157123","","","","0"
"2019","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","157750","","","","0"
