"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","204374","","","","0"
"2014","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","208812","","","","0"
"2015","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","216361","","","","0"
"2016","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","222886","","","","0"
"2017","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","232062","","","","0"
"2018","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","239771","","","","0"
"2019","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","244532","","","","0"
"2020","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","239355","","","","0"
"2021","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","257924","","","","0"
"2022","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","267887","","","","0"
"2023","British Columbia","2016A000259","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788394","11.1.1","275474","","","","0"
"2013","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","152960","","","","0"
"2014","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","158322","","","","0"
"2015","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","164607","","","","0"
"2016","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","169919","","","","0"
"2017","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","178021","","","","0"
"2018","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","183952","","","","0"
"2019","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","187114","","","","0"
"2020","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","179741","","","","0"
"2021","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","193764","","","","0"
"2022","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","201303","","","","0"
"2023","British Columbia","2016A000259","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788395","11.1.2","204359","","","","0"
"2013","British Columbia","2016A000259","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788396","11.1.3","59858","","","","0"
"2014","British Columbia","2016A000259","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788396","11.1.3","62428","","","","0"
"2015","British Columbia","2016A000259","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788396","11.1.3","65915","","","","0"
"2016","British Columbia","2016A000259","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788396","11.1.3","68361","","","","0"
"2017","British Columbia","2016A000259","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788396","11.1.3","72157","","","","0"
