"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","32721","","","","0"
"2014","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","32982","","","","0"
"2015","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","33479","","","","0"
"2016","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","34066","","","","0"
"2017","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","34961","","","","0"
"2018","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","35614","","","","0"
"2019","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","36258","","","","0"
"2020","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","35658","","","","0"
"2021","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","37394","","","","0"
"2022","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","38486","","","","0"
"2023","New Brunswick","2016A000213","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787692","5.1.1","39309","","","","0"
"2013","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","21883","","","","0"
"2014","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","22303","","","","0"
"2015","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","22647","","","","0"
"2016","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","22862","","","","0"
"2017","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","23559","","","","0"
"2018","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","23820","","","","0"
"2019","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","24197","","","","0"
"2020","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","23541","","","","0"
"2021","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","24784","","","","0"
"2022","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","25434","","","","0"
"2023","New Brunswick","2016A000213","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787693","5.1.2","26120","","","","0"
"2013","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","10967","","","","0"
"2014","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","11273","","","","0"
"2015","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","11534","","","","0"
"2016","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","11656","","","","0"
"2017","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","11995","","","","0"
"2018","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","12037","","","","0"
"2019","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","12261","","","","0"
"2020","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","12282","","","","0"
"2021","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","12918","","","","0"
"2022","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","12883","","","","0"
"2023","New Brunswick","2016A000213","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787694","5.1.3","13159","","","","0"
