"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","2516","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","2535","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","2681","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","2709","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","2796","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","2983","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","2953","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","3006","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","3219","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","3215","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788745","14.1.1","3271","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","774","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","789","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","814","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","824","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","844","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","855","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","863","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","859","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","907","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","917","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788746","14.1.2","929","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","347","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","348","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","365","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","368","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","383","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","391","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","393","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","412","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","440","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","429","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788747","14.1.3","431","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","42","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","42","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","45","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","47","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","50","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","53","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","54","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","57","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","63","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","64","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","63","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","76","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","75","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","80","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","81","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","87","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","94","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","96","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","107","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","128","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","121","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","128","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","229","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","231","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","240","","","","0"
