"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2875","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2922","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","2975","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3047","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3071","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3152","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3156","","","","0"
"2020","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3204","","","","0"
"2021","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3377","","","","0"
"2022","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3452","","","","0"
"2023","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3469","","","","0"
"2013","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1309","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1326","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1352","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1385","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1434","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1443","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1480","","","","0"
"2020","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1435","","","","0"
"2021","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1505","","","","0"
"2022","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1538","","","","0"
"2023","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1578","","","","0"
"2013","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","533","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","528","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","538","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","547","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","567","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","563","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","580","","","","0"
"2020","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","593","","","","0"
"2021","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","605","","","","0"
"2022","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","594","","","","0"
"2023","Yukon","2016A000260","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788513","12.1.3","591","","","","0"
"2013","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","146","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","142","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","142","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","147","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","157","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","153","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","160","","","","0"
"2020","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","164","","","","0"
"2021","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","169","","","","0"
"2022","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","159","","","","0"
"2023","Yukon","2016A000260","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788514","12.1.4","165","","","","0"
"2013","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","71","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","72","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","71","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","71","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","72","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","74","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","78","","","","0"
"2020","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","80","","","","0"
"2021","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","86","","","","0"
"2022","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","83","","","","0"
"2023","Yukon","2016A000260","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788515","12.1.5","77","","","","0"
"2013","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","316","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","314","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","325","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","329","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","338","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","336","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","342","","","","0"
"2020","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","350","","","","0"
"2021","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","351","","","","0"
"2022","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","353","","","","0"
"2023","Yukon","2016A000260","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788516","12.1.6","350","","","","0"
"2013","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","776","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","798","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","814","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","838","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","867","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","881","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","901","","","","0"
"2020","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","842","","","","0"
"2021","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","900","","","","0"
"2022","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","944","","","","0"
"2023","Yukon","2016A000260","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788517","12.1.7","988","","","","0"
"2013","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","53","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","50","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","49","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","56","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","55","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","58","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","54","","","","0"
"2020","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","58","","","","0"
"2021","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","59","","","","0"
"2022","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","61","","","","0"
"2023","Yukon","2016A000260","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788518","12.1.8","66","","","","0"
"2013","Yukon","2016A000260","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788519","12.1.9","1514","","","","0"
"2014","Yukon","2016A000260","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788519","12.1.9","1547","","","","0"
"2015","Yukon","2016A000260","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788519","12.1.9","1574","","","","0"
"2016","Yukon","2016A000260","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788519","12.1.9","1606","","","","0"
"2017","Yukon","2016A000260","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788519","12.1.9","1582","","","","0"
"2018","Yukon","2016A000260","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788519","12.1.9","1651","","","","0"
"2019","Yukon","2016A000260","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788519","12.1.9","1623","","","","0"
"2020","Yukon","2016A000260","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788519","12.1.9","1709","","","","0"
